# H2+ rovibrational excitation energies      UGAMOP database
# indx     quantum state       energy
#      electronic     v    j   (cm^-1)
#-------------------------------------
  264 X ^2Sig^+g    11    8  18524.73
  265 X ^2Sig^+g    12    1  18531.43
  266 X ^2Sig^+g     4   25  18538.89
  267 X ^2Sig^+g     8   17  18567.77
  268 X ^2Sig^+g    12    2  18580.85
  269 X ^2Sig^+g    10   12  18645.60
  270 X ^2Sig^+g    12    3  18654.22
  271 X ^2Sig^+g     3   27  18680.56
  272 X ^2Sig^+g     9   15  18726.26
  273 X ^2Sig^+g     0   32  18737.71
  274 X ^2Sig^+g    11    9  18739.29
  275 X ^2Sig^+g    12    4  18750.64
  276 X ^2Sig^+g    12    5  18868.94
  277 X ^2Sig^+g     2   29  18879.03
  278 X ^2Sig^+g     7   20  18917.66
  279 X ^2Sig^+g     6   22  18922.58
  280 X ^2Sig^+g    10   13  18942.68
  281 X ^2Sig^+g    11   10  18969.39
  282 X ^2Sig^+g     8   18  18970.88
  283 X ^2Sig^+g     5   24  18985.32
  284 X ^2Sig^+g    12    6  19007.69
  285 X ^2Sig^+g     9   16  19081.69
  286 X ^2Sig^+g     4   26  19104.98
  287 X ^2Sig^+g     1   31  19132.55
  288 X ^2Sig^+g    12    7  19165.25
  289 X ^2Sig^+g    11   11  19212.70
  290 X ^2Sig^+g    10   14  19248.22
  291 X ^2Sig^+g     3   28  19280.30
  292 X ^2Sig^+g    13    0  19304.75
  293 X ^2Sig^+g    13    1  19326.68
  294 X ^2Sig^+g    12    8  19339.77
  295 X ^2Sig^+g     7   21  19363.51
  296 X ^2Sig^+g    13    2  19370.24
  297 X ^2Sig^+g     8   19  19374.42
  298 X ^2Sig^+g     6   23  19407.98
  299 X ^2Sig^+g    13    3  19434.80
  300 X ^2Sig^+g     0   33  19439.41
  301 X ^2Sig^+g     9   17  19440.29
  302 X ^2Sig^+g    11   12  19466.82
  303 X ^2Sig^+g     5   25  19507.48
  304 X ^2Sig^+g     2   30  19509.82
  305 X ^2Sig^+g    13    4  19519.48
  306 X ^2Sig^+g    12    9  19529.19
  307 X ^2Sig^+g    10   15  19559.59
  308 X ^2Sig^+g    13    5  19623.11
  309 X ^2Sig^+g     4   27  19661.17
  310 X ^2Sig^+g    11   13  19729.19
  311 X ^2Sig^+g    12   10  19731.31
  312 X ^2Sig^+g    13    6  19744.25
  313 X ^2Sig^+g     8   20  19775.70
  314 X ^2Sig^+g     1   32  19792.02
  315 X ^2Sig^+g     9   18  19799.34
  316 X ^2Sig^+g     7   22  19804.43
  317 X ^2Sig^+g     3   29  19867.91
  318 X ^2Sig^+g    10   16  19874.05
  319 X ^2Sig^+g    13    7  19881.23
  320 X ^2Sig^+g     6   24  19885.85
  321 X ^2Sig^+g    12   11  19943.75
  322 X ^2Sig^+g    14    0  19981.17
  323 X ^2Sig^+g    11   14  19997.15
  324 X ^2Sig^+g    14    1  20000.00
  325 X ^2Sig^+g     5   26  20019.62
  326 X ^2Sig^+g    13    8  20032.16
  327 X ^2Sig^+g    14    2  20037.36
  328 X ^2Sig^+g    14    3  20092.63
  329 X ^2Sig^+g     0   34  20125.49
  330 X ^2Sig^+g     2   31  20126.48
  331 X ^2Sig^+g     9   19  20155.95
  332 X ^2Sig^+g    12   12  20163.99
  333 X ^2Sig^+g    14    4  20164.89
  334 X ^2Sig^+g     8   21  20171.86
  335 X ^2Sig^+g    10   17  20188.74
  336 X ^2Sig^+g    13    9  20194.93
  337 X ^2Sig^+g     4   28  20205.03
