# Data for C- transitions (Q) 
#  Number of transitions: 303 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
    12      3     12      6              1219.62          6.06000E-02          1.09000E+09
    13      3     13      6              1223.89          6.38000E-02          1.08000E+09
    14      3     14      6              1228.26          6.76000E-02          1.08000E+09
     1      3      1      7              1229.98          7.85000E-02          1.12000E+09
    21      3     21      5              1230.18          3.78000E-03          1.04000E+09
     2      3      2      7              1230.77          7.87000E-02          1.12000E+09
     3      3      3      7              1231.95          7.89000E-02          1.12000E+09
    15      3     15      6              1232.68          7.21000E-02          1.07000E+09
     4      3      4      7              1233.49          7.92000E-02          1.12000E+09
     5      3      5      7              1235.37          7.95000E-02          1.11000E+09
    16      3     16      6              1237.10          7.73000E-02          1.07000E+09
     6      3      6      7              1237.56          7.99000E-02          1.11000E+09
     7      3      7      7              1240.04          8.03000E-02          1.11000E+09
    17      3     17      6              1241.48          8.34000E-02          1.06000E+09
     8      3      8      7              1242.76          8.08000E-02          1.10000E+09
     9      3      9      7              1245.70          8.13000E-02          1.10000E+09
    18      3     18      6              1245.75          9.07000E-02          1.06000E+09
    10      3     10      7              1248.81          8.17000E-02          1.10000E+09
    19      3     19      6              1249.87          9.91000E-02          1.05000E+09
    11      3     11      7              1252.05          8.20000E-02          1.09000E+09
    20      3     20      6              1253.77          1.09000E-01          1.05000E+09
    12      3     12      7              1255.38          8.22000E-02          1.09000E+09
    21      3     21      6              1257.32          1.20000E-01          1.04000E+09
    13      3     13      7              1258.75          8.22000E-02          1.08000E+09
    14      3     14      7              1262.11          8.18000E-02          1.08000E+09
    15      3     15      7              1265.40          8.09000E-02          1.07000E+09
    16      3     16      7              1268.58          7.92000E-02          1.07000E+09
     1      3      1      8              1269.60          2.69000E-02          1.12000E+09
     2      3      2      8              1270.25          2.67000E-02          1.12000E+09
     3      3      3      8              1271.20          2.64000E-02          1.12000E+09
    17      3     17      7              1271.57          7.65000E-02          1.06000E+09
     4      3      4      8              1272.44          2.59000E-02          1.12000E+09
     5      3      5      8              1273.95          2.53000E-02          1.11000E+09
    18      3     18      7              1274.29          7.23000E-02          1.06000E+09
     6      3      6      8              1275.69          2.45000E-02          1.11000E+09
    19      3     19      7              1276.66          6.59000E-02          1.05000E+09
     7      3      7      8              1277.63          2.36000E-02          1.11000E+09
    20      3     20      7              1278.58          5.66000E-02          1.05000E+09
     8      3      8      8              1279.73          2.26000E-02          1.10000E+09
     9      3      9      8              1281.95          2.13000E-02          1.10000E+09
    10      3     10      8              1284.25          1.98000E-02          1.10000E+09
    11      3     11      8              1286.57          1.81000E-02          1.09000E+09
    12      3     12      8              1288.87          1.62000E-02          1.09000E+09
    13      3     13      8              1291.09          1.40000E-02          1.08000E+09
    14      3     14      8              1293.17          1.16000E-02          1.08000E+09
    15      3     15      8              1295.03          9.00000E-03          1.07000E+09
    16      3     16      8              1296.60          6.28000E-03          1.07000E+09
    17      3     17      8              1297.78          3.65000E-03          1.06000E+09
