# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    6    12     1.0431653483E+05     4.9743229807E+08     4.6000203828E-01
    6    13     1.0524067011E+05     4.9077294459E+08     5.2861310713E-01
    6    14     1.0612321634E+05     4.9330694898E+08     5.7759295876E-01
    6    15     1.0699523691E+05     4.6795438660E+08     6.4586235899E-01
    6    16     1.0781997090E+05     4.8867538887E+08     6.7488421684E-01
    6    17     1.0865502829E+05     3.8732393912E+08     7.2905964040E-01
    6    18     1.0941062346E+05     4.7267073872E+08     7.7418957037E-01
    6    19     1.1014449977E+05     3.9575948671E+08     8.2257642057E-01
    6    20     1.1089863754E+05     4.4959074034E+08     8.7030041293E-01
    6    21     1.1159264388E+05     4.3147460193E+08     9.0180715676E-01
    6    22     1.1228695915E+05     4.3562406950E+08     9.3110370282E-01
    6    23     1.1293302746E+05     4.3396045418E+08     9.4553558020E-01
    6    24     1.1357775419E+05     4.2806242355E+08     9.5120806044E-01
    6    25     1.1417264425E+05     4.3930745955E+08     9.5463796796E-01
    6    26     1.1477202164E+05     4.0090007747E+08     9.5146679717E-01
    6    27     1.1530990943E+05     4.4398978256E+08     9.4261545847E-01
    6    28     1.1586716956E+05     3.8241036457E+08     7.7886318335E-01
    6    29     1.1633649971E+05     4.6699260261E+08     8.6630670457E-01
    6    30     1.1676605782E+05     4.6489836677E+08     5.1495832132E-01
    6    31     1.1723074072E+05     5.2695654260E+08     7.0176544096E-01
    6    32     1.1758945041E+05     6.5144131932E+08     3.8237953852E-01
    6    33     1.1794037672E+05     6.1893733905E+08     4.6494809499E-01
    6    34     1.1818120979E+05     7.2790395582E+08     2.7246383033E-01
    6    35     1.1832896863E+05     8.6902500219E+08     9.5656408749E-02
    6    36     1.1836657808E+05     1.0816295798E+09     2.1689041418E-02
    7     0     9.1246633010E+04     3.4557528713E+01     8.9509988013E-02
    7     1     9.2516546970E+04     4.0659943768E+03     7.9792048903E-02
    7     2     9.3756189410E+04     1.0353898243E+05     6.0521058440E-02
    7     3     9.4965419810E+04     1.0118116458E+06     1.0632694637E-01
    7     4     9.6144031640E+04     1.3023703346E+07     7.2514155642E-02
    7     5     9.7291922680E+04     5.2743466633E+07     9.1557506858E-02
    7     6     9.8409095560E+04     1.7556416498E+08     1.1393303973E-01
    7     7     9.9495519110E+04     3.9141547693E+08     1.2499589472E-01
    7     8     1.0054892124E+05     4.9778210999E+08     1.8489245025E-01
    7     9     1.0157926464E+05     4.7278278110E+08     2.8589536096E-01
    7    10     1.0257262280E+05     4.9044284871E+08     3.4513679122E-01
    7    11     1.0354640929E+05     5.2332432208E+08     3.9162695368E-01
    7    12     1.0448068589E+05     5.0123034887E+08     4.7308759317E-01
    7    13     1.0540172344E+05     4.9161891172E+08     5.3167263368E-01
    7    14     1.0627640520E+05     4.9452213439E+08     5.8866350738E-01
    7    15     1.0715955778E+05     4.0228078847E+08     6.4511048536E-01
    7    16     1.0796333652E+05     4.8830117818E+08     6.8587990550E-01
    7    17     1.0874233647E+05     4.0727630725E+08     7.3832277256E-01
    7    18     1.0954515285E+05     4.6909891565E+08     7.8658458151E-01
    7    19     1.1028390883E+05     4.4528310807E+08     8.3343523640E-01
    7    20     1.1102549360E+05     4.4689623466E+08     8.7450412927E-01
    7    21     1.1171543858E+05     4.4103417515E+08     9.0522074784E-01
    7    22     1.1240826935E+05     4.2661312267E+08     9.2763416112E-01
    7    23     1.1304596252E+05     4.3852207170E+08     9.4554154811E-01
    7    24     1.1370015036E+05     3.7775961863E+08     9.3294430273E-01
    7    25     1.1427695793E+05     4.4094156191E+08     9.5569436153E-01
    7    26     1.1481141939E+05     3.0697769139E+08     8.4271495979E-01
    7    27     1.1540566820E+05     4.4105138071E+08     9.4803375704E-01
    7    28     1.1590707811E+05     4.2454542580E+08     8.3791731146E-01
    7    29     1.1642280470E+05     4.7568831168E+08     8.4496329744E-01
    7    30     1.1686740267E+05     5.1048117378E+08     7.0559700881E-01
    7    31     1.1730489814E+05     5.3334942829E+08     6.8390099437E-01
    7    32     1.1766851319E+05     5.8794509556E+08     5.4044853252E-01
    7    33     1.1799560356E+05     6.3698532819E+08     4.3402474846E-01
    7    34     1.1822380433E+05     7.3504449877E+08     2.6065818609E-01
    7    35     1.1833649324E+05     8.9771829782E+08     9.1741947956E-02
    7    36     1.1835504228E+05     9.1349622343E+08     6.8179942501E-02
    7    37     1.1837437307E+05     1.0900987561E+09     2.1088552848E-02
    8     0     9.1528827030E+04     6.6608731079E+01     8.5371724908E-02
    8     1     9.2786831070E+04     4.4676405017E+03     1.0907618671E-01
    8     2     9.4015923740E+04     1.4709393775E+05     8.2924607486E-02
    8     3     9.5215512570E+04     1.3091621898E+06     1.0852009907E-01
    8     4     9.6385180850E+04     1.3547210252E+07     1.0269482841E-01
    8     5     9.7524646060E+04     6.4468652225E+07     1.0292754646E-01
    8     6     9.8633840890E+04     1.8132284808E+08     1.3410338701E-01
    8     7     9.9712704090E+04     3.8905580842E+08     1.5028900184E-01
    8     8     1.0076046806E+05     4.9100091801E+08     2.1084182822E-01
    8     9     1.0178269687E+05     4.6054236090E+08     3.1208759619E-01
    8    10     1.0276999980E+05     4.8464943237E+08     3.6914886675E-01
    8    11     1.0373889106E+05     5.1319117133E+08     4.1137815218E-01
    8    12     1.0466514226E+05     4.9393601105E+08     4.9653133848E-01
    8    13     1.0559722211E+05     4.0177119981E+08     5.4998413166E-01
    8    14     1.0644909622E+05     4.9442949320E+08     6.0211849404E-01
    8    15     1.0727855099E+05     4.2884644141E+08     6.5744816663E-01
    8    16     1.0812541993E+05     4.8638132538E+08     6.9888088438E-01
