# Data for C- states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
   14     8     1.1708082780E+05     2.4826746000E+08     8.1178293117E+08     1.0600503912E+09     7.6579654885E-01     1.2146214273E-01
   14     9     1.1794205623E+05     2.0723582200E+08     8.7097488263E+08     1.0782107046E+09     8.0779654560E-01     1.6769074044E-01
   15     0     1.0545025902E+05     1.1172782917E+09     3.3346638761E-01     1.1172782921E+09     2.9846314027E-10     2.7623592085E-01
   15     1     1.0741703732E+05     1.1001496336E+09     3.5303640438E+01     1.1001496689E+09     3.2089852351E-08     2.0628623646E-01
   15     2     1.0925551843E+05     1.0847727911E+09     2.6170071730E+03     1.0847754081E+09     2.4124875559E-06     1.2806728412E-01
   15     3     1.1096587766E+05     1.0715046873E+09     7.1403401368E+04     1.0715760907E+09     6.6634000131E-05     1.8983833253E-01
   15     4     1.1254614213E+05     1.0546202000E+09     1.1058536021E+06     1.0557260536E+09     1.0474815870E-03     1.3133292658E-01
   15     5     1.1399277624E+05     1.0401599960E+09     1.3045364218E+07     1.0532053602E+09     1.2386344307E-02     1.8222894332E-01
   15     6     1.1529937471E+05     6.4770979900E+08     7.8006736165E+07     7.2571653517E+08     1.0748926390E-01     1.3934215839E-01
   15     7     1.1645624375E+05     2.9983915600E+08     2.6999309809E+08     5.6983225409E+08     4.7381154042E-01     1.9246005898E-01
   15     8     1.1744745136E+05     2.3300929000E+08     8.2183796903E+08     1.0548472590E+09     7.7910613313E-01     1.5452437486E-01
   15     9     1.1824645710E+05     1.6622788200E+08     8.8221663514E+08     1.0484445171E+09     8.4145285775E-01     1.8695001502E-01
   16     0     1.0617767793E+05     1.1102550708E+09     2.7589087594E+00     1.1102550736E+09     2.4849323592E-09     1.4232788065E-01
   16     1     1.0810339766E+05     1.0936533126E+09     4.6874518934E+01     1.0936533594E+09     4.2860490054E-08     1.9375857246E-01
   16     2     1.0990115931E+05     1.0788716505E+09     1.9135749066E+04     1.0788907862E+09     1.7736502443E-05     1.1241236864E-01
   16     3     1.1157067885E+05     1.0662761032E+09     7.5044128168E+04     1.0663511473E+09     7.0374686947E-05     2.1773088393E-01
   16     4     1.1310935352E+05     1.0489416100E+09     7.5244657266E+06     1.0564660757E+09     7.1222975347E-03     1.0826107131E-01
   16     5     1.1451291987E+05     1.0330477170E+09     1.6902515323E+07     1.0499502323E+09     1.6098396670E-02     1.8085641348E-01
   16     6     1.1577396223E+05     7.2397100540E+08     3.2541335842E+08     1.0493843638E+09     3.1009930169E-01     1.1436250898E-01
   16     7     1.1688102127E+05     2.6988179900E+08     7.8719367975E+08     1.0570754788E+09     7.4469013384E-01     1.2289829711E-01
   16     8     1.1781505883E+05     2.1938518000E+08     8.4702739056E+08     1.0664125706E+09     7.9427738752E-01     1.8323293328E-01
   17     0     1.0692518469E+05     1.1030840862E+09     3.7295878041E+00     1.1030840899E+09     3.3810548427E-09     2.0331951492E-01
   17     1     1.0880819203E+05     1.0870373963E+09     2.6408680394E+02     1.0870376604E+09     2.4294172463E-07     1.4772869840E-01
   17     2     1.1056348780E+05     1.0728880490E+09     2.2222530358E+04     1.0729102715E+09     2.0712384761E-05     1.8701598178E-01
   17     3     1.1219022514E+05     1.0584839490E+09     2.7441724545E+05     1.0587583662E+09     2.5918779412E-04     1.5705810414E-01
   17     4     1.1368515403E+05     1.0445169000E+09     7.2672456576E+06     1.0517841457E+09     6.9094459044E-03     1.8250750526E-01
   17     5     1.1504308608E+05     7.1728329400E+08     3.9020090533E+07     7.5630338453E+08     5.1593171908E-02     1.6124359524E-01
   17     6     1.1625542824E+05     3.2035925460E+08     2.3029283006E+08     5.5065208466E+08     4.1821839320E-01     1.9477641953E-01
   17     7     1.1730844602E+05     2.5010984000E+08     8.0229204865E+08     1.0524018886E+09     7.6234379404E-01     1.6365322962E-01
   17     8     1.1817890504E+05     1.9409499000E+08     8.6295133208E+08     1.0570463221E+09     8.1637986345E-01     2.1002597825E-01
   18     0     1.0768977205E+05     1.0957976334E+09     3.3700530007E+00     1.0957976368E+09     3.0754337184E-09     2.8987980215E-01
   18     1     1.0952849728E+05     1.0803384026E+09     3.6942259235E+03     1.0803420968E+09     3.4194964117E-06     1.1884848583E-01
   18     2     1.1123963705E+05     1.0668901190E+09     1.8994313753E+04     1.0669091133E+09     1.7803122605E-05     2.6814293672E-01
   18     3     1.1282166522E+05     1.0525371400E+09     3.3478133783E+06     1.0558849534E+09     3.1706232461E-03     1.1623176979E-01
   18     4     1.1427065264E+05     1.0398933000E+09     7.9942360747E+06     1.0478875361E+09     7.6289065377E-03     2.1130953176E-01
   18     5     1.1558027370E+05     7.8449706300E+08     2.5940699421E+08     1.0439040572E+09     2.4849696906E-01     1.2158801276E-01
   18     6     1.1674046379E+05     2.9325967700E+08     7.5209313905E+08     1.0453528161E+09     7.1946344574E-01     1.3023859031E-01
   18     7     1.1773452037E+05     2.3712509000E+08     8.1823786914E+08     1.0553629591E+09     7.7531418177E-01     2.0220383495E-01
   19     0     1.0846854514E+05     1.0884282481E+09     1.5650758127E+01     1.0884282637E+09     1.4379227965E-08     1.8805979600E-01
   19     1     1.1026148943E+05     1.0735935451E+09     4.8356512954E+03     1.0735983808E+09     4.5041529329E-06     1.9935282896E-01
