# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
   23    25     1.1713035822E+05     9.5881241200E+07     4.8914094891E+08     5.8502219011E+08     8.3610665916E-01     9.0660582789E-01
   23    26     1.1755903085E+05     9.0980521000E+07     5.2669141955E+08     6.1767194055E+08     8.5270413786E-01     8.1411509770E-01
   23    27     1.1793807065E+05     7.6570380000E+07     5.6322207433E+08     6.3979245433E+08     8.8031997020E-01     7.0107607911E-01
   23    28     1.1825448714E+05     7.6445059000E+07     6.4567529380E+08     7.2212035280E+08     8.9413806341E-01     5.0197951468E-01
   24     0     9.8440914430E+04     1.0590653870E+09     1.0596114488E+07     1.0696615015E+09     9.9060445507E-03     3.1714186886E-01
   24     1     9.9502263950E+04     6.0129482100E+08     2.4658264228E+08     8.4787746328E+08     2.9082344202E-01     2.7217793228E-01
   24     2     1.0053791617E+05     5.8338786000E+08     5.5607153298E+08     1.1394593930E+09     4.8801347060E-01     2.9024932272E-01
   24     3     1.0154753512E+05     5.1690260000E+08     5.6057043837E+08     1.0774730384E+09     5.2026400514E-01     3.7160244726E-01
   24     4     1.0253094143E+05     4.3983314000E+08     5.4749882875E+08     9.8733196875E+08     5.5452355042E-01     4.4711102867E-01
   24     5     1.0348806780E+05     4.0896840179E+08     5.7331513206E+08     9.8228353385E+08     5.8365544398E-01     4.9719149710E-01
   24     6     1.0441893979E+05     3.9241696000E+08     5.7496676521E+08     9.6738372521E+08     5.9435232393E-01     5.5539558914E-01
   24     7     1.0532366713E+05     3.6416902000E+08     5.5764728968E+08     9.2181630968E+08     6.0494404777E-01     6.2111332314E-01
   24     8     1.0620243495E+05     3.2833983000E+08     5.4205782888E+08     8.7039765888E+08     6.2277032038E-01     6.8181659093E-01
   24     9     1.0705547116E+05     2.9708706900E+08     5.3502267191E+08     8.3210974091E+08     6.4297128805E-01     7.3165954687E-01
   24    10     1.0788304053E+05     2.7519853800E+08     5.3274122666E+08     8.0793976466E+08     6.5938235740E-01     7.7452580270E-01
