# Data for D+ transitions (P and R) 
#  Number of transitions: 679 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     5      1      6      7              1110.41          4.81316E-05          3.28529E+08
     5      1      4      7              1100.48          6.87902E-04          3.28529E+08
     5      1      6      8              1141.01          1.83910E-04          3.28529E+08
     5      1      4      8              1131.38          4.33454E-04          3.28529E+08
     5      1      6      9              1169.80          2.04190E-05          3.28529E+08
     5      1      4      9              1160.64          7.51785E-05          3.28529E+08
     5      1      6     10              1196.07          5.35354E-06          3.28529E+08
     5      1      4     10              1187.59          8.55382E-07          3.28529E+08
     5      1      6     11              1218.95          3.38094E-06          3.28529E+08
     5      1      4     11              1211.45          5.67406E-06          3.28529E+08
     5      1      6     12              1237.37          1.24369E-08          3.28529E+08
     5      1      4     12              1231.20          1.58631E-07          3.28529E+08
     5      1      6     13              1249.89          3.02237E-09          3.28529E+08
     5      1      4     13              1245.60          5.27472E-08          3.28529E+08
     6      1      7      1               917.09          1.94364E-03          3.01024E+08
     6      1      7      2               949.92          2.45015E-04          3.01024E+08
