          9         9        12      1181C   C   D    0.822591500D+05
 E STATE HAS LABEL C   
 VIBRATIONAL LEVELS FOR STATE E IN 1/CM FOR J=  8
     -17186.93257    -14988.06724    -12920.96364    -10983.69777
     -9175.19106     -7496.22782     -5948.73621     -4536.97085
     -3267.35947     -2150.10574     -1201.03769      -444.75110
 PROPORTION OF STATE C   
       85.26  0.139556E+01 0.464598E+03 0.184443E+06 0.627156E+07
       85.29  0.144518E+01 0.481090E+03 0.190978E+06 0.649410E+07
       85.31  0.149687E+01 0.498267E+03 0.197785E+06 0.672589E+07
       85.33  0.155067E+01 0.516146E+03 0.204869E+06 0.696717E+07
       85.36  0.160668E+01 0.534762E+03 0.212245E+06 0.721836E+07
       85.39  0.166496E+01 0.554128E+03 0.219917E+06 0.747969E+07
       85.41  0.172556E+01 0.574264E+03 0.227894E+06 0.775140E+07
       85.44  0.178853E+01 0.595186E+03 0.236183E+06 0.803372E+07
       85.46  0.185389E+01 0.616902E+03 0.244785E+06 0.832674E+07
       85.49  0.192171E+01 0.639435E+03 0.253709E+06 0.863077E+07
       85.51  0.199199E+01 0.662783E+03 0.262957E+06 0.894582E+07
       85.54  0.206473E+01 0.686948E+03 0.272527E+06 0.927188E+07
       85.56  0.213992E+01 0.711925E+03 0.282418E+06 0.960888E+07
       85.58  0.221750E+01 0.737692E+03 0.292622E+06 0.995655E+07
       85.61  0.229744E+01 0.764244E+03 0.303135E+06 0.103148E+08
       85.64  0.237964E+01 0.791543E+03 0.313944E+06 0.106831E+08
       85.66  0.246397E+01 0.819547E+03 0.325031E+06 0.110610E+08
       85.69  0.255027E+01 0.848203E+03 0.336374E+06 0.114476E+08
       85.71  0.263830E+01 0.877434E+03 0.347945E+06 0.118420E+08
       85.74  0.272789E+01 0.907176E+03 0.359717E+06 0.122432E+08
       85.76  0.281869E+01 0.937322E+03 0.371647E+06 0.126499E+08
       85.79  0.291038E+01 0.967757E+03 0.383690E+06 0.130605E+08
       85.81  0.300254E+01 0.998348E+03 0.395794E+06 0.134732E+08
       85.83  0.309470E+01 0.102893E+04 0.407894E+06 0.138858E+08
       85.86  0.318641E+01 0.105936E+04 0.419931E+06 0.142964E+08
       85.89  0.327706E+01 0.108944E+04 0.431827E+06 0.147021E+08
       85.91  0.336605E+01 0.111896E+04 0.443501E+06 0.151003E+08
       85.94  0.345271E+01 0.114771E+04 0.454865E+06 0.154880E+08
       85.96  0.353632E+01 0.117544E+04 0.465825E+06 0.158620E+08
       85.99  0.361621E+01 0.120192E+04 0.476292E+06 0.162193E+08
       86.00  0.366203E+01 0.121711E+04 0.482293E+06 0.164241E+08
       86.01  0.369161E+01 0.122691E+04 0.486165E+06 0.165563E+08
       86.04  0.376176E+01 0.125016E+04 0.495345E+06 0.168698E+08
       86.06  0.382595E+01 0.127142E+04 0.503738E+06 0.171565E+08
       86.08  0.388346E+01 0.129046E+04 0.511250E+06 0.174133E+08
       86.11  0.393368E+01 0.130707E+04 0.517799E+06 0.176372E+08
       86.14  0.397600E+01 0.132106E+04 0.523308E+06 0.178258E+08
       86.16  0.400994E+01 0.133227E+04 0.527713E+06 0.179768E+08
       86.19  0.403510E+01 0.134055E+04 0.530961E+06 0.180883E+08
       86.21  0.405119E+01 0.134582E+04 0.533015E+06 0.181592E+08
       86.24  0.405806E+01 0.134803E+04 0.533855E+06 0.181888E+08
       86.26  0.405567E+01 0.134716E+04 0.533478E+06 0.181769E+08
       86.29  0.404411E+01 0.134324E+04 0.531893E+06 0.181238E+08
       86.31  0.402358E+01 0.133635E+04 0.529131E+06 0.180306E+08
       86.33  0.399444E+01 0.132660E+04 0.525237E+06 0.178988E+08
       86.36  0.395709E+01 0.131412E+04 0.520264E+06 0.177303E+08
       86.39  0.391206E+01 0.129909E+04 0.514282E+06 0.175273E+08
       86.41  0.385994E+01 0.128171E+04 0.507371E+06 0.172927E+08
       86.44  0.380139E+01 0.126220E+04 0.499615E+06 0.170292E+08
       86.46  0.373712E+01 0.124079E+04 0.491110E+06 0.167402E+08
       86.49  0.366779E+01 0.121770E+04 0.481942E+06 0.164285E+08
       86.51  0.359414E+01 0.119318E+04 0.472209E+06 0.160975E+08
       86.54  0.351688E+01 0.116747E+04 0.462004E+06 0.157504E+08
       86.56  0.343670E+01 0.114079E+04 0.451416E+06 0.153903E+08
       86.58  0.335426E+01 0.111336E+04 0.440536E+06 0.150201E+08
       86.61  0.327015E+01 0.108538E+04 0.429438E+06 0.146425E+08
       86.64  0.318494E+01 0.105704E+04 0.418199E+06 0.142600E+08
       86.66  0.309917E+01 0.102852E+04 0.406888E+06 0.138750E+08
       86.69  0.301329E+01 0.999963E+03 0.395567E+06 0.134897E+08
       86.71  0.292776E+01 0.971525E+03 0.384293E+06 0.131059E+08
       86.74  0.284288E+01 0.943308E+03 0.373109E+06 0.127251E+08
       86.76  0.275901E+01 0.915426E+03 0.362058E+06 0.123488E+08
       86.79  0.267641E+01 0.887970E+03 0.351177E+06 0.119783E+08
       86.81  0.259531E+01 0.861014E+03 0.340495E+06 0.116146E+08
       86.83  0.251592E+01 0.834629E+03 0.330040E+06 0.112585E+08
       86.86  0.243834E+01 0.808848E+03 0.319825E+06 0.109106E+08
       86.89  0.236272E+01 0.783719E+03 0.309870E+06 0.105715E+08
       86.91  0.228914E+01 0.759272E+03 0.300185E+06 0.102417E+08
       86.94  0.221768E+01 0.735527E+03 0.290779E+06 0.992126E+07
       86.96  0.214838E+01 0.712505E+03 0.281660E+06 0.961061E+07
       86.99  0.208124E+01 0.690199E+03 0.272825E+06 0.930964E+07
       87.01  0.201628E+01 0.668618E+03 0.264278E+06 0.901844E+07
       87.04  0.195348E+01 0.647758E+03 0.256017E+06 0.873698E+07
       87.06  0.189283E+01 0.627612E+03 0.248039E+06 0.846516E+07
       87.08  0.183432E+01 0.608177E+03 0.240343E+06 0.820293E+07
       87.11  0.177787E+01 0.589427E+03 0.232919E+06 0.794994E+07
       87.14  0.172345E+01 0.571354E+03 0.225763E+06 0.770609E+07
       87.16  0.167102E+01 0.553940E+03 0.218868E+06 0.747113E+07
       87.19  0.162051E+01 0.537167E+03 0.212228E+06 0.724484E+07
