# Data for C+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
   15     2     1.0931785443E+05     1.6035946446E+07     7.9976828547E-01
   15     3     1.1101234077E+05     7.5532419841E+07     8.9517929417E-01
   15     4     1.1263163801E+05     8.0338006030E+07     9.2092947823E-01
   15     5     1.1405829716E+05     5.2336884649E+07     7.1392346538E-01
   15     6     1.1534568895E+05     1.5500318278E+08     4.9366639875E-01
   15     7     1.1750675885E+05     7.7212794958E+08     2.2522180978E-01
   15     8     1.1827085862E+05     8.4829049582E+08     2.1619525325E-01
   16     0     1.0623088665E+05     3.1266134856E+06     6.1767334316E-01
   16     1     1.0815935984E+05     1.3014094115E+07     7.4029043204E-01
   16     2     1.0999405140E+05     1.6516241986E+08     8.4814902399E-01
   16     3     1.1164094441E+05     2.5068893822E+07     9.0616868626E-01
   16     4     1.1316768637E+05     3.9266087458E+07     9.0871405431E-01
   16     5     1.1452862266E+05     2.2622827252E+08     9.8060885418E-01
   16     6     1.1584474951E+05     1.5674398432E+08     4.8135084704E-01
   16     7     1.1693242774E+05     6.0338839261E+08     2.1467384144E-01
   16     8     1.1783890471E+05     7.5792047667E+08     2.8312899289E-01
   17     0     1.0697354804E+05     2.6589221029E+07     6.5981314086E-01
   17     1     1.0887095549E+05     1.5318203984E+07     7.7789846536E-01
   17     2     1.1062530542E+05     1.3311636279E+07     8.7235131829E-01
   17     3     1.1223504589E+05     9.8044073228E+07     9.2773172874E-01
   17     4     1.1376130567E+05     5.6043261219E+07     8.6192018847E-01
   17     5     1.1510393986E+05     1.1743443635E+08     3.7195548221E-01
   17     6     1.1629394263E+05     6.0169783209E+08     2.4591326795E-01
   17     7     1.1737730712E+05     7.2957116361E+08     2.6534278312E-01
   17     8     1.1821394673E+05     8.3031912329E+08     2.3649101903E-01
   18     0     1.0774162234E+05     2.1463302469E+06     7.2624324812E-01
   18     1     1.0958277236E+05     1.3445510712E+07     8.3512316488E-01
   18     2     1.1131313571E+05     5.8477130921E+07     9.2273673167E-01
   18     3     1.1288590120E+05     1.7986425391E+07     9.3582822224E-01
   18     4     1.1432150938E+05     6.4961502546E+07     8.7575420683E-01
   18     5     1.1565847643E+05     1.5494960386E+08     6.6539982862E-01
   18     6     1.1679720992E+05     5.5739004109E+08     2.1963812746E-01
   18     7     1.1776688668E+05     7.5369012123E+08     2.8177781788E-01
   19     0     1.0850533365E+05     2.2828823745E+08     7.8042064467E-01
   19     1     1.1031868439E+05     6.4115574297E+06     8.8039401823E-01
   19     2     1.1198313840E+05     1.5485522197E+07     9.0692334908E-01
   19     3     1.1354322106E+05     1.2112033249E+08     9.8005128392E-01
   19     4     1.1492531246E+05     8.5978874954E+07     3.6922383449E-01
   19     5     1.1616947910E+05     3.9344764979E+08     2.4442142099E-01
   19     6     1.1729284794E+05     5.2318242527E+08     3.4458118906E-01
   19     7     1.1819201791E+05     8.0499637997E+08     2.6202284492E-01
   20     0     1.0930695241E+05     1.4990657482E+06     8.2529978528E-01
   20     1     1.1104786413E+05     9.3260572362E+07     9.1750099392E-01
   20     2     1.1268143923E+05     1.0957113322E+07     9.8351671053E-01
   20     3     1.1416348642E+05     2.6274583047E+07     7.8743434579E-01
   20     4     1.1553453211E+05     1.5153314229E+08     8.3315053803E-01
   20     5     1.1671822818E+05     4.8855735639E+08     2.3318094684E-01
   20     6     1.1773820565E+05     7.1912763493E+08     3.2402720134E-01
   21     0     1.1010452208E+05     2.9018241446E+06     8.7379493532E-01
   21     1     1.1180522056E+05     3.8967153736E+06     9.3218534000E-01
   21     2     1.1335802405E+05     1.8121412176E+08     1.0290026710E+00
   21     3     1.1481604083E+05     2.9754536427E+07     5.7495768430E-01
   21     4     1.1610392476E+05     2.2653010692E+08     2.7179163956E-01
   21     5     1.1725963404E+05     6.4169402684E+08     2.6124781684E-01
   21     6     1.1821288167E+05     7.8064042848E+08     3.0355154519E-01
   22     0     1.1090555549E+05     5.0539776309E+06     9.2671086057E-01
   22     1     1.1255886406E+05     4.8666153774E+06     1.0117064206E+00
   22     2     1.1407673768E+05     1.1706249746E+07     7.5341407096E-01
   22     3     1.1547136193E+05     8.5756159591E+07     8.8946247037E-01
   22     4     1.1670047710E+05     3.9670273718E+08     2.5675338439E-01
   22     5     1.1779638342E+05     6.9593761387E+08     3.7846489863E-01
   23     0     1.1171251490E+05     6.7636929934E+05     9.7464266983E-01
   23     1     1.1330363426E+05     1.2549947846E+08     1.0513808875E+00
   23     2     1.1477973180E+05     1.2474312269E+07     5.9400465633E-01
   23     3     1.1610249165E+05     6.4733697231E+07     6.6321341709E-01
   23     4     1.1728803313E+05     3.1204351245E+08     3.4340433805E-01
   23     5     1.1830516514E+05     7.6764377239E+08     3.2997548765E-01
   24     0     1.1252013998E+05     7.7676538930E+05     1.0360051728E+00
   24     1     1.1406538960E+05     4.6389996453E+06     7.7780118111E-01
   24     2     1.1548011046E+05     1.8150928155E+07     7.8733799789E-01
   24     3     1.1674707004E+05     2.8592274621E+08     2.9999787318E-01
   24     4     1.1786511388E+05     7.2953838112E+08     2.9881199556E-01
   25     0     1.1332733137E+05     1.1068349542E+07     1.0671701211E+00
   25     1     1.1481758119E+05     3.7990647809E+06     6.0402276669E-01
   25     2     1.1618046761E+05     1.4810254469E+08     9.6723653136E-01
   25     3     1.1738112099E+05     2.1403403552E+08     3.8031976987E-01
