# Data for C+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
   16     5     1.1452862266E+05     5.7961874231E+08     2.2622827252E+08     8.0584701483E+08     2.8073352430E-01     9.8060885418E-01
   16     6     1.1584474951E+05     3.8419714100E+08     1.5674398432E+08     5.4094112532E+08     2.8976163391E-01     4.8135084704E-01
   16     7     1.1693242774E+05     2.7524482820E+08     6.0338839261E+08     8.7863322081E+08     6.8673523641E-01     2.1467384144E-01
   16     8     1.1783890471E+05     1.8292341700E+08     7.5792047667E+08     9.4084389367E+08     8.0557516690E-01     2.8312899289E-01
   17     0     1.0697354804E+05     1.0663817544E+09     2.6589221029E+07     1.0929709754E+09     2.4327472208E-02     6.5981314086E-01
   17     1     1.0887095549E+05     1.0702165429E+09     1.5318203984E+07     1.0855347469E+09     1.4111205586E-02     7.7789846536E-01
   17     2     1.1062530542E+05     1.0561750650E+09     1.3311636279E+07     1.0694867013E+09     1.2446752506E-02     8.7235131829E-01
   17     3     1.1223504589E+05     8.8369797015E+08     9.8044073228E+07     9.8174204338E+08     9.9867448775E-02     9.2773172874E-01
   17     4     1.1376130567E+05     9.6344670220E+08     5.6043261219E+07     1.0194899634E+09     5.4971861646E-02     8.6192018847E-01
   17     5     1.1510393986E+05     9.0517539000E+08     1.1743443635E+08     1.0226098264E+09     1.1483796980E-01     3.7195548221E-01
   17     6     1.1629394263E+05     3.4959778010E+08     6.0169783209E+08     9.5129561219E+08     6.3250352927E-01     2.4591326795E-01
   17     7     1.1737730712E+05     2.4087442390E+08     7.2957116361E+08     9.7044558751E+08     7.5178987158E-01     2.6534278312E-01
   17     8     1.1821394673E+05     1.8824371600E+08     8.3031912329E+08     1.0185628393E+09     8.1518693915E-01     2.3649101903E-01
   18     0     1.0774162234E+05     1.0964086312E+09     2.1463302469E+06     1.0985549614E+09     1.9537759349E-03     7.2624324812E-01
   18     1     1.0958277236E+05     1.0614569106E+09     1.3445510712E+07     1.0749024213E+09     1.2508587240E-02     8.3512316488E-01
   18     2     1.1131313571E+05     9.7299421290E+08     5.8477130921E+07     1.0314713438E+09     5.6692928283E-02     9.2273673167E-01
   18     3     1.1288590120E+05     1.0296087500E+09     1.7986425391E+07     1.0475951754E+09     1.7169251838E-02     9.3582822224E-01
