# Data for C- transitions (Q) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
    23      0     23      1              1174.15          3.61633E+08          7.47800E-02          1.05872E+09
    23      0     23      2              1211.35          3.78615E+08          8.33300E-02          1.05872E+09
    23      0     23      3              1247.18          1.67429E+08          3.90600E-02          1.05872E+09
    23      0     23      4              1280.88          2.60029E+07          6.39900E-03          1.05872E+09
    23      0     23      5              1311.39          4.22154E+05          1.08900E-04          1.05872E+09
    24      0     24      0              1144.94          1.23203E+08          2.42300E-02          1.05128E+09
    24      0     24      1              1182.17          3.62288E+08          7.59500E-02          1.05128E+09
    24      0     24      2              1218.41          3.79923E+08          8.46000E-02          1.05128E+09
    24      0     24      3              1253.01          1.63403E+08          3.84800E-02          1.05128E+09
    24      0     24      4              1285.09          2.24544E+07          5.56200E-03          1.05128E+09
    25      0     25      0              1153.80          1.22017E+08          2.43700E-02          1.04427E+09
    25      0     25      1              1190.22          3.63856E+08          7.73200E-02          1.04427E+09
    25      0     25      2              1225.40          3.81659E+08          8.59600E-02          1.04427E+09
    25      0     25      3              1258.63          1.58280E+08          3.76100E-02          1.04427E+09
    25      0     25      4              1288.92          1.83980E+07          4.58500E-03          1.04427E+09
    26      0     26      0              1162.72          1.21120E+08          2.45600E-02         -1.00000E+00
    26      0     26      1              1198.25          3.66578E+08          7.89500E-02         -1.00000E+00
    26      0     26      2              1232.27          3.83871E+08          8.74400E-02         -1.00000E+00
    26      0     26      3              1263.99          1.51668E+08          3.63500E-02         -1.00000E+00
    27      0     27      0              1171.69          1.20585E+08          2.48300E-02         -1.00000E+00
    27      0     27      1              1206.23          3.70772E+08          8.09200E-02         -1.00000E+00
    27      0     27      2              1238.98          3.86595E+08          8.90200E-02         -1.00000E+00
    27      0     27      3              1269.00          1.42997E+08          3.45400E-02         -1.00000E+00
    28      0     28      0              1180.67          1.20506E+08          2.52000E-02         -1.00000E+00
    28      0     28      1              1214.14          3.76875E+08          8.33300E-02         -1.00000E+00
    28      0     28      2              1245.47          3.89829E+08          9.07000E-02         -1.00000E+00
    29      0     29      0              1189.64          1.21012E+08          2.56900E-02         -1.00000E+00
    29      0     29      1              1221.92          3.85506E+08          8.63400E-02         -1.00000E+00
    30      0     30      0              1198.58          1.22285E+08          2.63500E-02         -1.00000E+00
    30      0     30      1              1229.55          3.97596E+08          9.01600E-02         -1.00000E+00
    31      0     31      0              1207.47          1.24582E+08          2.72500E-02         -1.00000E+00
     1      1      1      0               986.79          2.49816E+08          3.64900E-02          1.15847E+09
     1      1      1      1              1028.99          1.76396E+08          2.80200E-02          1.15847E+09
     1      1      1      2              1072.24          4.08364E+06          7.04200E-04          1.15847E+09
     1      1      1      3              1116.40          2.42255E+08          4.52900E-02          1.15847E+09
     1      1      1      4              1161.29          3.20084E+08          6.47500E-02          1.15847E+09
     1      1      1      5              1206.64          1.39998E+08          3.05700E-02          1.15847E+09
     1      1      1      6              1252.08          2.44410E+07          5.74700E-03          1.15847E+09
     1      1      1      7              1297.17          1.38593E+06          3.49800E-04          1.15847E+09
     1      1      1      8              1341.32          5.63602E+03          1.52100E-06          1.15847E+09
     1      1      1      9              1383.75          5.73711E+02          1.64800E-07          1.15847E+09
     1      1      1     10              1423.53          2.06339E+00          6.27200E-10          1.15847E+09
     1      1      1     11              1459.45          5.94316E-01          1.89900E-10          1.15847E+09
     1      1      1     12              1490.03          2.08717E-01          6.95100E-11          1.15847E+09
     1      1      1     13              1513.44          4.45297E-02          1.53000E-11          1.15847E+09
     1      1      1     14              1527.50          9.36542E-03          3.27800E-12          1.15847E+09
     2      1      2      0               987.97          2.49382E+08          3.65100E-02          1.15732E+09
     2      1      2      1              1030.14          1.76274E+08          2.80600E-02          1.15732E+09
     2      1      2      2              1073.36          4.07810E+06          7.04800E-04          1.15732E+09
     2      1      2      3              1117.48          2.42282E+08          4.53800E-02          1.15732E+09
