# Data for C+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     8      0      7     11              1491.93          1.93203E+04          7.31100E-06          1.16274E+09
     8      0      9     12              1529.83          1.30267E+05          4.09200E-05          1.16274E+09
     8      0      7     12              1518.03          2.23742E+05          8.76500E-05          1.16274E+09
     8      0      7     13              1534.81          4.52126E+04          1.81100E-05          1.16274E+09
     9      0     10      0              1045.05          9.95768E+07          1.47600E-02          1.15654E+09
     9      0      8      0              1023.88          5.20736E+07          9.15200E-03          1.15654E+09
     9      0     10      1              1088.89          2.51523E+08          4.04700E-02          1.15654E+09
     9      0      8      1              1067.09          1.33951E+08          2.55700E-02          1.15654E+09
     9      0     10      2              1133.62          2.11474E+08          3.68800E-02          1.15654E+09
     9      0      8      2              1111.26          1.58286E+08          3.27700E-02          1.15654E+09
     9      0     10      3              1179.02          7.34165E+07          1.38500E-02          1.15654E+09
     9      0      8      3              1156.19          1.09141E+08          2.44600E-02          1.15654E+09
     9      0     10      4              1224.81          1.47695E+07          3.00700E-03          1.15654E+09
     9      0      8      4              1201.62          3.64802E+07          8.83100E-03          1.15654E+09
     9      0     10      5              1270.59          3.77196E+06          8.26400E-04          1.15654E+09
     9      0      8      5              1247.23          2.53307E+06          6.60600E-04          1.15654E+09
     9      0     10      6              1315.86          2.27665E+05          5.35000E-05          1.15654E+09
     9      0      8      6              1292.55          1.10933E+04          3.10700E-06          1.15654E+09
     9      0     10      7              1359.99          4.69180E+05          1.17800E-04          1.15654E+09
     9      0      8      7              1337.03          2.89662E+05          8.68100E-05          1.15654E+09
     9      0     10      8              1402.12          8.02034E+02          2.14000E-07          1.15654E+09
     9      0      8      8              1379.92          1.24569E+05          3.97700E-05          1.15654E+09
     9      0     10      9              1441.20          3.67879E+05          1.03700E-04          1.15654E+09
     9      0      8      9              1420.27          4.00858E+05          1.35600E-04          1.15654E+09
     9      0     10     10              1475.85          2.34936E+05          6.94500E-05          1.15654E+09
     9      0      8     10              1456.88          8.54661E+03          3.04100E-06          1.15654E+09
     9      0     10     11              1504.29          1.83169E+03          5.62500E-07          1.15654E+09
     9      0      8     11              1488.23          1.80603E+05          6.70600E-05          1.15654E+09
     9      0     10     12              1524.03          4.65732E+05          1.46800E-04          1.15654E+09
     9      0      8     12              1512.35          4.32123E+05          1.65700E-04          1.15654E+09
    10      0     11      0              1050.91          1.71017E+08          2.58700E-02          1.12728E+09
    10      0      9      0              1027.90          1.18314E+06          2.07200E-04          1.12728E+09
    10      0     11      1              1094.56          1.49160E+08          2.44700E-02          1.12728E+09
    10      0      9      1              1070.90          5.83168E+07          1.10900E-02          1.12728E+09
    10      0     11      2              1139.02          5.47495E+07          9.72800E-03          1.12728E+09
    10      0      9      2              1114.79          2.14670E+08          4.42300E-02          1.12728E+09
    10      0     11      3              1184.07          5.90084E+07          1.13300E-02          1.12728E+09
    10      0      9      3              1159.36          9.45266E+07          2.10600E-02          1.12728E+09
    10      0     11      4              1229.40          5.19250E+07          1.07500E-02          1.12728E+09
    10      0      9      4              1204.36          5.19545E+05          1.24900E-04          1.12728E+09
    10      0     11      5              1274.59          4.27259E+04          9.50600E-06          1.12728E+09
    10      0      9      5              1249.42          2.74664E+05          7.10800E-05          1.12728E+09
    10      0     11      6              1319.13          1.04638E+07          2.49400E-03          1.12728E+09
    10      0      9      6              1294.09          1.61645E+07          4.48800E-03          1.12728E+09
    10      0     11      7              1362.32          3.91150E+06          9.94200E-04          1.12728E+09
    10      0      9      7              1337.76          1.53229E+04          4.54600E-06          1.12728E+09
    10      0     11      8              1403.29          4.83395E+06          1.30400E-03          1.12728E+09
    10      0      9      8              1379.65          1.17728E+07          3.71500E-03          1.12728E+09
    10      0     11      9              1440.91          1.02313E+07          2.90900E-03          1.12728E+09
    10      0      9      9              1418.80          3.05951E+06          1.02100E-03          1.12728E+09
    10      0     11     10              1473.72          6.96372E+05          2.07100E-04          1.12728E+09
    10      0      9     10              1453.94          2.86516E+06          1.00400E-03          1.12728E+09
    10      0     11     11              1499.79          1.14671E+06          3.53300E-04          1.12728E+09
    10      0      9     11              1483.47          8.03688E+06          2.93200E-03          1.12728E+09
    10      0      9     12              1505.27          9.38718E+06          3.52600E-03          1.12728E+09
    11      0     12      0              1057.63          1.23511E+08          1.90700E-02          1.14760E+09
    11      0     10      0              1032.85          3.09168E+07          5.41800E-03          1.14760E+09
    11      0     12      1              1101.10          2.54688E+08          4.26100E-02          1.14760E+09
    11      0     10      1              1075.66          1.18362E+08          2.25000E-02          1.14760E+09
    11      0     12      2              1145.31          1.90563E+08          3.45000E-02          1.14760E+09
    11      0     10      2              1119.29          1.76925E+08          3.64100E-02          1.14760E+09
    11      0     12      3              1190.00          7.63339E+07          1.49200E-02          1.14760E+09
    11      0     10      3              1163.52          1.15052E+08          2.55900E-02          1.14760E+09
    11      0     12      4              1234.86          2.15464E+07          4.53400E-03          1.14760E+09
    11      0     10      4              1208.09          2.74364E+07          6.57800E-03          1.14760E+09
    11      0     12      5              1279.45          2.43477E+06          5.50000E-04          1.14760E+09
    11      0     10      5              1252.60          2.05378E+06          5.29400E-04          1.14760E+09
    11      0     12      6              1323.21          1.48266E+05          3.58200E-05          1.14760E+09
    11      0     10      6              1296.59          5.86248E+05          1.61900E-04          1.14760E+09
    11      0     12      7              1365.41          9.52627E+03          2.45100E-06          1.14760E+09
    11      0     10      7              1339.41          2.15375E+05          6.34800E-05          1.14760E+09
    11      0     12      8              1405.13          3.08468E+05          8.40500E-05          1.14760E+09
    11      0     10      8              1380.26          2.54592E+05          7.96800E-05          1.14760E+09
    11      0     12      9              1441.16          1.07137E+05          3.07100E-05          1.14760E+09
    11      0     10      9              1418.11          8.46113E+03          2.79500E-06          1.14760E+09
    11      0     12     10              1471.93          2.17595E+04          6.50600E-06          1.14760E+09
    11      0     10     10              1451.64          2.38695E+05          8.26300E-05          1.14760E+09
    11      0     12     11              1495.28          6.90812E+04          2.13200E-05          1.14760E+09
    11      0     10     11              1479.15          1.51798E+05          5.45600E-05          1.14760E+09
    11      0     10     12              1498.23          1.77103E+05          6.53100E-05          1.14760E+09
    12      0     13      0              1064.49          1.07124E+08          1.68600E-02          1.13972E+09
    12      0     11      0              1038.06          4.21422E+07          7.40400E-03          1.13972E+09
    12      0     13      1              1107.74          2.60510E+08          4.44000E-02          1.13972E+09
    12      0     11      1              1080.63          1.18415E+08          2.25500E-02          1.13972E+09
    12      0     13      2              1151.63          2.08932E+08          3.84900E-02          1.13972E+09
    12      0     11      2              1123.95          1.54839E+08          3.18900E-02          1.13972E+09
