# Data for D- transitions (Q) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     9      1      9      9              1167.24          6.99703E+02          1.43000E-07          3.50220E+08
     9      1      9     10              1190.92          3.21935E+01          6.84900E-09          3.50220E+08
     9      1      9     11              1210.66          5.79366E+00          1.27400E-09          3.50220E+08
     9      1      9     12              1225.14          3.27706E+00          7.37800E-10          3.50220E+08
    10      1     10      0               893.33          6.20476E+07          7.42700E-03          3.49552E+08
    10      1     10      1               925.17          5.90225E+07          7.57800E-03          3.49552E+08
    10      1     10      2               957.26          1.74825E+05          2.40300E-05          3.49552E+08
    10      1     10      3               989.44          5.61535E+07          8.24600E-03          3.49552E+08
    10      1     10      4              1021.48          1.03121E+08          1.61400E-02          3.49552E+08
    10      1     10      5              1053.13          5.64973E+07          9.39900E-03          3.49552E+08
    10      1     10      6              1084.04          1.17982E+07          2.08000E-03          3.49552E+08
    10      1     10      7              1113.81          7.35802E+05          1.36900E-04          3.49552E+08
    10      1     10      8              1141.92          7.72003E+02          1.51000E-07          3.49552E+08
    10      1     10      9              1167.70          7.30653E+02          1.49400E-07          3.49552E+08
    10      1     10     10              1190.35          3.26232E+01          6.93400E-09          3.49552E+08
    10      1     10     11              1208.78          6.16109E-01          1.35000E-10          3.49552E+08
    10      1     10     12              1221.49          1.61386E+00          3.61200E-10          3.49552E+08
     1      2      1      0               853.76          7.04082E+07          7.69800E-03          3.53948E+08
     1      2      1      1               885.16          1.03935E+07          1.22100E-03          3.53948E+08
     1      2      1      2               916.97          3.06569E+07          3.86700E-03          3.53948E+08
     1      2      1      3               949.09          3.73573E+07          5.04800E-03          3.53948E+08
     1      2      1      4               981.33          2.99501E+06          4.32600E-04          3.53948E+08
     1      2      1      5              1013.52          7.91016E+07          1.21900E-02          3.53948E+08
     1      2      1      6              1045.39          8.97617E+07          1.47100E-02          3.53948E+08
     1      2      1      7              1076.63          3.01925E+07          5.25000E-03          3.53948E+08
     1      2      1      8              1106.87          3.05128E+06          5.60700E-04          3.53948E+08
     1      2      1      9              1135.61          2.63134E+04          5.09000E-06          3.53948E+08
     1      2      1     10              1162.26          3.45752E+03          7.00600E-07          3.53948E+08
     1      2      1     11              1186.09          9.52498E+01          2.01000E-08          3.53948E+08
     1      2      1     12              1206.21          5.60755E+00          1.22400E-09          3.53948E+08
     1      2      1     13              1221.51          8.39400E+00          1.87900E-09          3.53948E+08
     1      2      1     14              1230.65          1.70873E+02          3.88200E-08          3.53948E+08
     2      2      2      0               854.71          7.02614E+07          7.69900E-03          3.53789E+08
     2      2      2      1               886.09          1.04253E+07          1.22800E-03          3.53789E+08
     2      2      2      2               917.88          3.05989E+07          3.86700E-03          3.53789E+08
     2      2      2      3               949.95          3.73304E+07          5.05300E-03          3.53789E+08
     2      2      2      4               982.15          3.01248E+06          4.35900E-04          3.53789E+08
     2      2      2      5              1014.27          7.92760E+07          1.22300E-02          3.53789E+08
     2      2      2      6              1046.06          8.98223E+07          1.47400E-02          3.53789E+08
     2      2      2      7              1077.21          3.00495E+07          5.23000E-03          3.53789E+08
     2      2      2      8              1107.33          2.98556E+06          5.49100E-04          3.53789E+08
     2      2      2      9              1135.93          2.35998E+04          4.56800E-06          3.53789E+08
     2      2      2     10              1162.40          3.47975E+03          7.05300E-07          3.53789E+08
     2      2      2     11              1186.02          8.25497E+01          1.74200E-08          3.53789E+08
     2      2      2     12              1205.87          1.51147E+00          3.29700E-10          3.53789E+08
     2      2      2     13              1220.84          5.52824E+00          1.23600E-09          3.53789E+08
     2      2      2     14              1229.55          6.90469E+01          1.56600E-08          3.53789E+08
     3      2      3      0               856.13          7.00563E+07          7.70200E-03          3.53560E+08
     3      2      3      1               887.47          1.04668E+07          1.23700E-03          3.53560E+08
     3      2      3      2               919.22          3.04957E+07          3.86500E-03          3.53560E+08
     3      2      3      3               951.23          3.72987E+07          5.06200E-03          3.53560E+08
     3      2      3      4               983.36          3.03646E+06          4.40400E-04          3.53560E+08
     3      2      3      5              1015.39          7.95618E+07          1.23000E-02          3.53560E+08
     3      2      3      6              1047.06          8.99014E+07          1.47800E-02          3.53560E+08
