C+	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
Cp2	X6	P7	1235.05782	-0.0964	1.93E-2	1.13E+9
Cp2	X5	R20	1236.32197	-0.1185	2.71E-2	8.88E+8
Cp2	X5	P16	1236.72676	-0.1175	3.90E-2	1.08E+9
Cp2	X4	P22	1236.96658	-0.1303	2.53E-2	8.88E+8
Cp2	X6	R12	1237.54758	-0.0999	4.16E-2	1.09E+9
Cp2	X6	P8	1238.77671	-0.0993	1.80E-2	1.12E+9
Cp2	X6	R13	1240.52755	-0.0990	2.24E-2	1.03E+9
Cp2	X5	R21	1240.62819	-0.1182	4.85E-2	1.04E+9
Cp2	X5	P17	1241.61293	-0.1169	2.79E-2	9.79E+8
Cp2	X4	P23	1242.61886	-0.1300	2.87E-2	1.04E+9
