C-	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
Cm3	X6	Q9	1207.75373	-0.0890	5.33E-2	1.10E+9
Cm3	X6	Q10	1211.50842	-0.0923	5.54E-2	1.10E+9
Cm3	X6	Q11	1215.47339	-0.0956	5.78E-2	1.09E+9
Cm3	X6	Q12	1219.61750	-0.0989	6.06E-2	1.09E+9
Cm3	X6	Q13	1223.89386	-0.1022	6.38E-2	1.08E+9
Cm3	X6	Q14	1228.26329	-0.1054	6.76E-2	1.08E+9
Cm3	X7	Q1	1229.98191	-0.0806	7.85E-2	1.12E+9
Cm3	X5	Q21	1230.18158	-0.1214	3.78E-3	1.04E+9
Cm3	X7	Q2	1230.77494	-0.0815	7.87E-2	1.12E+9
Cm3	X7	Q3	1231.94951	-0.0827	7.89E-2	1.12E+9
Cm3	X6	Q15	1232.67853	-0.1084	7.21E-2	1.07E+9
Cm3	X7	Q4	1233.48815	-0.0842	7.92E-2	1.12E+9
Cm3	X7	Q5	1235.36803	-0.0861	7.95E-2	1.11E+9
Cm3	X6	Q16	1237.10026	-0.1111	7.73E-2	1.07E+9
Cm3	X7	Q6	1237.56176	-0.0882	7.99E-2	1.11E+9
Cm3	X7	Q7	1240.03773	-0.0906	8.03E-2	1.11E+9
Cm3	X6	Q17	1241.47596	-0.1135	8.34E-2	1.06E+9
Cm3	X7	Q8	1242.76484	-0.0931	8.08E-2	1.10E+9
Cm3	X7	Q9	1245.70299	-0.0957	8.13E-2	1.10E+9
Cm3	X6	Q18	1245.75208	-0.1155	9.07E-2	1.06E+9
Cm3	X7	Q10	1248.81273	-0.0983	8.17E-2	1.10E+9
Cm3	X6	Q19	1249.86659	-0.1169	9.91E-2	1.05E+9
Cm3	X7	Q11	1252.05090	-0.1009	8.20E-2	1.09E+9
Cm3	X6	Q20	1253.76808	-0.1175	1.09E-1	1.05E+9
Cm3	X7	Q12	1255.38123	-0.1035	8.22E-2	1.09E+9
Cm3	X6	Q21	1257.31753	-0.1172	1.20E-1	1.04E+9
Cm3	X7	Q13	1258.74978	-0.1059	8.22E-2	1.08E+9
Cm3	X7	Q14	1262.10949	-0.1080	8.18E-2	1.08E+9
Cm3	X7	Q15	1265.40295	-0.1098	8.09E-2	1.07E+9
Cm3	X7	Q16	1268.57866	-0.1112	7.92E-2	1.07E+9
Cm3	X8	Q1	1269.60000	-0.0869	2.69E-2	1.12E+9
Cm3	X8	Q2	1270.24727	-0.0876	2.67E-2	1.12E+9
Cm3	X8	Q3	1271.20191	-0.0886	2.64E-2	1.12E+9
Cm3	X7	Q17	1271.56754	-0.1120	7.65E-2	1.06E+9
Cm3	X8	Q4	1272.44493	-0.0899	2.59E-2	1.12E+9
Cm3	X8	Q5	1273.95143	-0.0914	2.53E-2	1.11E+9
Cm3	X7	Q18	1274.29395	-0.1121	7.23E-2	1.06E+9
Cm3	X8	Q6	1275.69142	-0.0931	2.45E-2	1.11E+9
Cm3	X7	Q19	1276.66437	-0.1112	6.59E-2	1.05E+9
Cm3	X8	Q7	1277.63011	-0.0949	2.36E-2	1.11E+9
Cm3	X7	Q20	1278.58024	-0.1089	5.66E-2	1.05E+9
Cm3	X8	Q8	1279.73284	-0.0968	2.26E-2	1.10E+9
Cm3	X8	Q9	1281.95484	-0.0988	2.13E-2	1.10E+9
Cm3	X8	Q10	1284.25131	-0.1006	1.98E-2	1.10E+9
Cm3	X8	Q11	1286.57256	-0.1024	1.81E-2	1.09E+9
Cm3	X8	Q12	1288.87490	-0.1039	1.62E-2	1.09E+9
Cm3	X8	Q13	1291.09415	-0.1051	1.40E-2	1.08E+9
Cm3	X8	Q14	1293.17091	-0.1060	1.16E-2	1.08E+9
Cm3	X8	Q15	1295.03126	-0.1062	9.00E-3	1.07E+9
Cm3	X8	Q16	1296.60184	-0.1058	6.28E-3	1.07E+9
Cm3	X8	Q17	1297.78165	-0.1044	3.65E-3	1.06E+9
