B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B1	X3	R1	1253.93871	-0.0657	4.54E-2	1.63E+9
B1	X3	R2	1255.38363	-0.0670	4.19E-2	1.53E+9
B1	X3	P1	1255.67666	-0.0671	2.14E-2	1.86E+9
B1	X2	R11	1255.90762	-0.0920	3.59E-2	9.82E+8
B1	X2	P10	1256.65314	-0.0923	3.41E-2	1.12E+9
B1	X3	R3	1257.83045	-0.0692	4.12E-2	1.45E+9
B1	X3	P2	1258.27270	-0.0693	2.54E-2	1.74E+9
B1	X3	R4	1261.26501	-0.0721	4.14E-2	1.37E+9
B1	X1	R16	1261.71400	-0.1135	9.91E-3	8.04E+8
B1	X1	P15	1261.75616	-0.1135	1.39E-2	9.71E+8
B1	X3	P3	1261.85958	-0.0724	2.71E-2	1.63E+9
B1	X3	R5	1265.66844	-0.0759	4.20E-2	1.30E+9
B1	X2	R12	1266.38358	-0.0998	3.54E-2	9.40E+8
B1	X3	P4	1266.41902	-0.0762	2.82E-2	1.53E+9
B1	X2	P11	1267.22747	-0.1001	3.45E-2	1.07E+9
B1	X0	P19	1267.49977	-0.1289	1.78E-3	7.76E+8
B1	X3	R6	1271.01752	-0.0804	4.29E-2	1.24E+9
B1	X3	P5	1271.92828	-0.0808	2.90E-2	1.45E+9
B1	X1	R17	1275.63398	-0.1223	9.52E-3	7.76E+8
B1	X1	P16	1275.75438	-0.1225	1.37E-2	8.67E+8
B1	X3	R7	1277.28527	-0.0855	4.40E-2	1.18E+9
B1	X2	R13	1277.59119	-0.1078	3.49E-2	9.71E+8
B1	X3	P6	1278.36075	-0.0860	2.98E-2	1.37E+9
B1	X2	P12	1278.54388	-0.1082	3.49E-2	1.02E+9
B1	X0	P20	1283.80084	-0.1380	1.74E-3	7.49E+8
B1	X3	R8	1284.44157	-0.0912	4.52E-2	1.12E+9
B1	X0	R21	1284.65983	-0.1378	8.74E-4	6.80E+8
B1	X3	P7	1285.68649	-0.0919	3.07E-2	1.30E+9
B1	X2	R14	1289.49599	-0.1160	3.45E-2	8.67E+8
B1	X1	R18	1290.13688	-0.1311	9.20E-3	7.49E+8
B1	X1	P17	1290.35084	-0.1315	1.36E-2	8.36E+8
B1	X2	P13	1290.56706	-0.1166	3.53E-2	9.82E+8
B1	X3	R9	1292.45342	-0.0975	4.65E-2	1.07E+9
B1	X3	P8	1293.87287	-0.0983	3.17E-2	1.24E+9
B1	X0	P21	1300.60562	-0.1470	1.71E-3	7.24E+8
B1	X3	R10	1301.28543	-0.1043	4.77E-2	1.02E+9
B1	X2	R15	1302.05624	-0.1243	3.40E-2	8.36E+8
B1	X3	P9	1302.88496	-0.1051	3.27E-2	1.18E+9
B1	X2	P14	1303.26070	-0.1251	3.57E-2	9.40E+8
B1	X1	R19	1305.17875	-0.1398	8.94E-3	7.24E+8
B1	X1	P18	1305.51736	-0.1405	1.35E-2	8.04E+8
B1	X4	R1	1310.84977	-0.0854	1.08E-2	1.63E+9
B1	X3	R11	1310.90008	-0.1114	4.89E-2	9.82E+8
B1	X4	R2	1312.23472	-0.0866	1.08E-2	1.53E+9
B1	X3	P10	1312.68606	-0.1124	3.39E-2	1.12E+9
B1	X4	P1	1312.74918	-0.0869	4.32E-3	1.86E+9
B1	X4	R3	1314.61730	-0.0887	1.14E-2	1.45E+9
B1	X2	R16	1315.23899	-0.1328	3.37E-2	8.04E+8
B1	X2	P15	1316.58483	-0.1337	3.62E-2	9.71E+8
B1	X0	P22	1317.88755	-0.1557	1.69E-3	7.03E+8
B1	X4	R4	1317.98164	-0.0915	1.24E-2	1.37E+9
B1	X0	R23	1318.47527	-0.1548	8.38E-4	6.44E+8
B1	X4	P3	1319.01909	-0.0921	5.18E-3	1.63E+9
B1	X1	R20	1320.72816	-0.1484	8.77E-3	7.03E+8
B1	X1	P19	1321.20471	-0.1493	1.34E-2	7.76E+8
