B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B5	X4	R7	1254.46088	-0.0733	7.14E-3	1.16E+9
B5	X3	P12	1257.15337	-0.0974	1.51E-2	1.01E+9
B5	X3	R13	1257.43680	-0.0982	1.24E-2	8.93E+8
B5	X2	R17	1257.53522	-0.1148	4.96E-3	7.69E+8
B5	X4	R8	1261.32101	-0.0790	8.03E-3	1.11E+9
B5	X4	P7	1261.41930	-0.0783	1.42E-3	1.28E+9
B5	X1	P20	1265.82314	-0.1313	1.77E-2	8.37E+8
B5	X0	P23	1266.52123	-0.1391	1.34E-2	6.79E+8
B5	X1	R21	1267.54041	-0.1320	2.88E-2	6.79E+8
B5	X3	P13	1268.47631	-0.1054	1.53E-2	9.72E+8
B5	X3	R14	1268.64654	-0.1060	1.18E-2	8.61E+8
B5	X4	R9	1268.96389	-0.0851	8.98E-3	1.09E+9
B5	X0	R24	1269.21506	-0.1399	1.12E-2	6.32E+8
B5	X2	R18	1271.09900	-0.1231	5.71E-3	8.37E+8
B5	X4	R10	1277.34945	-0.0916	9.97E-3	1.01E+9
B5	X4	P9	1277.66384	-0.0911	1.58E-3	1.16E+9
B5	X3	P14	1280.39003	-0.1135	1.55E-2	9.30E+8
B5	X3	R15	1280.41582	-0.1139	1.12E-2	8.27E+8
B5	X1	P21	1281.49173	-0.1396	1.86E-2	7.20E+8
B5	X5	R1	1282.79363	-0.0689	1.42E-2	1.60E+9
B5	X1	R22	1283.09389	-0.1401	2.94E-2	6.68E+8
B5	X0	P24	1283.59136	-0.1471	1.37E-2	6.68E+8
B5	X5	R2	1284.20596	-0.0703	1.22E-2	1.51E+9
B5	X5	P1	1284.33482	-0.0701	7.90E-3	1.83E+9
B5	X2	R19	1285.10395	-0.1312	6.40E-3	7.20E+8
B5	X4	R11	1286.43492	-0.0985	1.10E-2	9.72E+8
B5	X5	R3	1286.56515	-0.0724	1.10E-2	1.43E+9
B5	X5	P2	1286.77045	-0.0721	9.73E-3	1.71E+9
B5	X5	R4	1289.85112	-0.0753	1.01E-2	1.35E+9
B5	X5	P3	1290.14666	-0.0750	1.07E-2	1.60E+9
B5	X3	R16	1292.71031	-0.1218	1.06E-2	8.07E+8
B5	X3	P15	1292.84190	-0.1216	1.57E-2	8.93E+8
B5	X5	R5	1294.03778	-0.0789	9.24E-3	1.28E+9
B5	X5	P4	1294.44066	-0.0786	1.13E-2	1.51E+9
B5	X4	R12	1296.17672	-0.1056	1.20E-2	9.30E+8
B5	X4	P11	1296.79134	-0.1054	1.85E-3	1.09E+9
B5	X1	P22	1297.53807	-0.1477	1.94E-2	7.35E+8
B5	X1	R23	1298.97041	-0.1478	3.00E-2	6.47E+8
B5	X5	R6	1299.09265	-0.0832	8.44E-3	1.22E+9
B5	X2	R20	1299.51531	-0.1391	7.01E-3	7.35E+8
B5	X5	P5	1299.62372	-0.0829	1.17E-2	1.43E+9
B5	X0	P25	1300.97032	-0.1547	1.42E-2	6.47E+8
B5	X5	R7	1304.98320	-0.0880	7.65E-3	1.16E+9
B5	X3	R17	1305.47605	-0.1296	1.01E-2	7.69E+8
B5	X5	P6	1305.66150	-0.0878	1.20E-2	1.35E+9
B5	X3	P16	1305.79854	-0.1297	1.59E-2	8.61E+8
B5	X4	R13	1306.51872	-0.1128	1.29E-2	8.93E+8
B5	X5	R8	1311.66360	-0.0934	6.89E-3	1.11E+9
B5	X5	P7	1312.51508	-0.0933	1.23E-2	1.28E+9
B5	X1	P23	1313.89923	-0.1554	2.02E-2	6.79E+8
B5	X2	R21	1314.26556	-0.1467	7.48E-3	6.79E+8
B5	X1	R24	1315.13104	-0.1550	3.06E-2	6.32E+8
B5	X4	R14	1317.42401	-0.1202	1.39E-2	8.61E+8
B5	X4	P13	1318.44095	-0.1204	2.22E-3	9.72E+8
B5	X0	P26	1318.62362	-0.1619	1.47E-2	6.32E+8
B5	X3	R18	1318.66642	-0.1373	9.74E-3	8.37E+8
B5	X5	R9	1319.09206	-0.0992	6.17E-3	1.09E+9
B5	X3	P17	1319.20048	-0.1377	1.61E-2	8.27E+8
B5	X5	P8	1320.14055	-0.0993	1.25E-2	1.22E+9
B5	X5	R10	1327.22267	-0.1054	5.48E-3	1.01E+9
B5	X5	P9	1328.49548	-0.1056	1.27E-2	1.16E+9
B5	X4	R15	1328.82878	-0.1275	1.47E-2	8.27E+8
B5	X2	R22	1329.34767	-0.1540	7.77E-3	6.68E+8
B5	X1	P24	1330.57266	-0.1627	2.09E-2	6.68E+8
B5	X3	R19	1332.22152	-0.1447	9.49E-3	7.20E+8
B5	X3	P18	1333.00932	-0.1455	1.63E-2	8.07E+8
B5	X6	R1	1334.28070	-0.0826	1.68E-2	1.60E+9
B5	X6	R2	1335.60446	-0.0838	1.59E-2	1.51E+9
B5	X6	P1	1335.94817	-0.0837	7.30E-3	1.83E+9
B5	X5	R11	1336.00610	-0.1118	4.85E-3	9.72E+8
B5	X5	P10	1337.52500	-0.1122	1.28E-2	1.11E+9
B5	X6	R3	1337.85003	-0.0858	1.59E-2	1.43E+9
B5	X4	R16	1340.69045	-0.1348	1.54E-2	8.07E+8
B5	X6	R4	1340.99488	-0.0885	1.62E-2	1.35E+9
B5	X6	P3	1341.72318	-0.0885	8.67E-3	1.60E+9
B5	X4	P15	1342.21720	-0.1356	2.58E-3	8.93E+8
B5	X2	R23	1344.65398	-0.1607	7.84E-3	6.47E+8
B5	X6	R5	1345.00971	-0.0919	1.67E-2	1.28E+9
B5	X5	R12	1345.39156	-0.1184	4.29E-3	9.30E+8
B5	X6	P4	1345.95630	-0.0920	8.69E-3	1.51E+9
B5	X3	R20	1346.09592	-0.1518	9.41E-3	7.35E+8
B5	X3	P19	1347.16492	-0.1530	1.66E-2	7.69E+8
B5	X5	P11	1347.17951	-0.1191	1.29E-2	1.09E+9
B5	X1	P25	1347.45531	-0.1694	2.15E-2	6.47E+8
B5	X6	R6	1349.85789	-0.0959	1.73E-2	1.22E+9
B5	X6	P5	1351.04540	-0.0961	8.63E-3	1.43E+9
B5	X4	R17	1352.94432	-0.1418	1.59E-2	7.69E+8
B5	X5	R13	1355.31403	-0.1250	3.82E-3	8.93E+8
B5	X6	R7	1355.50239	-0.1004	1.78E-2	1.16E+9
B5	X6	P6	1356.95156	-0.1008	8.54E-3	1.35E+9
B5	X5	P12	1357.40586	-0.1260	1.31E-2	1.01E+9
B5	X2	R24	1360.13110	-0.1669	7.63E-3	6.32E+8
B5	X3	R21	1360.20748	-0.1585	9.54E-3	6.79E+8
B5	X3	P20	1361.61366	-0.1602	1.69E-2	8.37E+8
B5	X6	R8	1361.89135	-0.1054	1.84E-2	1.11E+9
B5	X6	P7	1363.63053	-0.1060	8.45E-3	1.28E+9
B5	X1	P26	1364.49840	-0.1756	2.19E-2	6.32E+8
B5	X4	R18	1365.53232	-0.1487	1.63E-2	8.37E+8
B5	X4	P17	1367.69060	-0.1504	2.80E-3	8.27E+8
B5	X5	P13	1368.14780	-0.1331	1.32E-2	9.72E+8
B5	X6	R9	1368.97677	-0.1108	1.89E-2	1.09E+9
B5	X6	P8	1371.03221	-0.1116	8.36E-3	1.22E+9
B5	X3	R22	1374.53684	-0.1646	9.91E-3	6.68E+8
B5	X3	P21	1376.28620	-0.1669	1.72E-2	7.20E+8
B5	X5	R15	1376.55939	-0.1383	3.20E-3	8.27E+8
B5	X6	R10	1376.70560	-0.1165	1.94E-2	1.01E+9
B5	X4	R19	1378.38054	-0.1551	1.64E-2	7.20E+8
B5	X6	P9	1379.10760	-0.1175	8.27E-3	1.16E+9
B5	X5	P14	1379.34758	-0.1400	1.34E-2	9.30E+8
B5	X6	R11	1385.02038	-0.1223	1.98E-2	9.72E+8
B5	X6	P10	1387.79367	-0.1237	8.16E-3	1.11E+9
B5	X3	R23	1388.95425	-0.1701	1.06E-2	6.47E+8
B5	X5	P15	1390.93209	-0.1469	1.36E-2	8.93E+8
B5	X3	P22	1391.12650	-0.1731	1.76E-2	7.35E+8
B5	X4	R20	1391.42855	-0.1611	1.63E-2	7.35E+8
B5	X7	P3	1393.06598	-0.0994	5.78E-3	1.60E+9
B5	X6	R12	1393.86126	-0.1282	2.02E-2	9.30E+8
B5	X4	P19	1394.38362	-0.1639	2.68E-3	7.69E+8
B5	X6	P11	1397.03235	-0.1300	8.03E-3	1.09E+9
B5	X5	R17	1399.23200	-0.1508	3.11E-3	7.69E+8
B5	X7	P5	1402.08634	-0.1065	7.03E-3	1.43E+9
B5	X5	P16	1402.84836	-0.1535	1.39E-2	8.61E+8
B5	X6	R13	1403.15205	-0.1342	2.04E-2	8.93E+8
B5	X3	R24	1403.38452	-0.1747	1.16E-2	6.32E+8
B5	X4	R21	1404.57399	-0.1664	1.58E-2	6.79E+8
B5	X3	P23	1406.03664	-0.1785	1.81E-2	6.79E+8
B5	X6	P12	1406.76097	-0.1363	7.83E-3	1.01E+9
B5	X6	R14	1412.83664	-0.1400	2.05E-2	8.61E+8
B5	X7	P7	1414.14330	-0.1157	8.15E-3	1.28E+9
B5	X5	P17	1415.01045	-0.1597	1.43E-2	8.27E+8
B5	X6	P13	1416.91239	-0.1426	7.55E-3	9.72E+8
B5	X4	R22	1417.77777	-0.1710	1.49E-2	6.68E+8
B5	X3	P24	1420.98200	-0.1831	1.85E-2	6.68E+8
B5	X7	P8	1421.17930	-0.1209	8.72E-3	1.22E+9
B5	X4	P21	1421.72533	-0.1753	2.02E-3	7.20E+8
B5	X5	R19	1422.72651	-0.1616	3.80E-3	7.20E+8
B5	X6	R15	1422.82517	-0.1456	2.04E-2	8.27E+8
B5	X5	P18	1427.35328	-0.1655	1.49E-2	8.07E+8
B5	X6	P14	1427.41663	-0.1487	7.15E-3	9.30E+8
B5	X7	P9	1428.81066	-0.1262	9.31E-3	1.16E+9
B5	X4	R23	1430.87786	-0.1746	1.34E-2	6.47E+8
B5	X6	R16	1433.04881	-0.1509	2.01E-2	8.07E+8
B5	X3	P25	1435.80480	-0.1867	1.88E-2	6.47E+8
B5	X8	R1	1436.09131	-0.1011	3.07E-2	1.60E+9
B5	X7	P10	1436.96434	-0.1318	9.95E-3	1.11E+9
B5	X8	R2	1437.12900	-0.1021	2.80E-2	1.51E+9
B5	X6	P15	1438.18562	-0.1545	6.59E-3	8.93E+8
B5	X8	R3	1438.98491	-0.1037	2.70E-2	1.43E+9
B5	X5	P19	1439.78224	-0.1707	1.55E-2	7.69E+8
B5	X8	R4	1441.63040	-0.1059	2.66E-2	1.35E+9
B5	X6	R17	1443.40892	-0.1556	1.95E-2	7.69E+8
B5	X8	P3	1443.46677	-0.1067	1.77E-2	1.60E+9
B5	X4	R24	1443.76268	-0.1769	1.14E-2	6.32E+8
B5	X8	R5	1445.02778	-0.1087	2.63E-2	1.28E+9
B5	X7	P11	1445.57156	-0.1373	1.07E-2	1.09E+9
B5	X5	R21	1446.30760	-0.1695	5.79E-3	6.79E+8
B5	X8	P4	1447.36601	-0.1097	1.78E-2	1.51E+9
B5	X8	R6	1449.12971	-0.1119	2.61E-2	1.22E+9
B6	X2	R7	1140.53811	-0.0335	1.59E-3	1.17E+9
B6	X1	P12	1144.01671	-0.0561	5.55E-3	1.01E+9
B6	X0	P16	1145.54623	-0.0721	1.26E-2	8.62E+8
B6	X2	P7	1146.08768	-0.0376	4.30E-3	1.27E+9
B6	X1	R13	1146.36873	-0.0586	1.70E-2	8.88E+8
B6	X2	R8	1147.45266	-0.0395	1.26E-3	1.10E+9
B6	X0	R17	1148.85868	-0.0749	1.47E-2	7.66E+8
B6	X2	P8	1153.71508	-0.0441	4.29E-3	1.21E+9
B6	X2	R9	1155.17122	-0.0461	9.44E-4	1.05E+9
B6	X1	P13	1155.24790	-0.0646	6.02E-3	9.64E+8
B6	X1	R14	1157.65703	-0.0670	1.80E-2	8.62E+8
B6	X0	P17	1159.15852	-0.0812	1.29E-2	8.23E+8
B6	X2	P9	1162.13107	-0.0511	4.23E-3	1.17E+9
B6	X0	R18	1162.52138	-0.0839	1.46E-2	7.85E+8
B6	X3	R0	1164.98210	-0.0295	2.23E-2	1.70E+9
B6	X3	R1	1165.54030	-0.0301	1.53E-2	1.59E+9
B6	X3	P1	1166.76525	-0.0310	7.09E-3	1.82E+9
B6	X3	R2	1167.05996	-0.0316	1.42E-2	1.50E+9
B6	X1	P14	1167.12290	-0.0732	6.56E-3	9.26E+8
B6	X3	P2	1169.09944	-0.0331	8.36E-3	1.70E+9
B6	X3	R3	1169.53005	-0.0339	1.40E-2	1.42E+9
B6	X1	R15	1169.57100	-0.0756	1.90E-2	8.23E+8
B6	X2	P10	1171.31133	-0.0585	4.13E-3	1.10E+9
B6	X3	P3	1172.38070	-0.0361	8.84E-3	1.59E+9
B6	X2	R11	1172.89503	-0.0605	4.19E-4	9.64E+8
B6	X3	R4	1172.93435	-0.0371	1.41E-2	1.34E+9
B6	X0	P18	1173.32410	-0.0903	1.32E-2	8.57E+8
B6	X3	P4	1176.59127	-0.0398	9.08E-3	1.50E+9
B6	X0	R19	1176.71108	-0.0929	1.44E-2	7.18E+8
B6	X3	R5	1177.25022	-0.0410	1.44E-2	1.27E+9
B6	X1	P15	1179.61355	-0.0820	7.16E-3	8.88E+8
B6	X2	P11	1181.21725	-0.0663	3.99E-3	1.05E+9
B6	X3	P5	1181.70842	-0.0443	9.25E-3	1.42E+9
B6	X1	R16	1182.08208	-0.0843	2.00E-2	8.57E+8
B6	X3	R6	1182.45920	-0.0457	1.47E-2	1.21E+9
B6	X3	P6	1187.70536	-0.0495	9.41E-3	1.34E+9
B6	X0	P19	1188.01350	-0.0994	1.36E-2	7.66E+8
B6	X3	R7	1188.52239	-0.0510	1.51E-2	1.17E+9
B6	X0	R20	1191.40674	-0.1018	1.43E-2	7.05E+8
B6	X2	P12	1191.81348	-0.0744	3.82E-3	1.01E+9
B6	X1	P16	1192.68643	-0.0909	7.81E-3	8.62E+8
B6	X3	P7	1194.54998	-0.0554	9.58E-3	1.27E+9
B6	X1	R17	1195.15661	-0.0931	2.09E-2	7.66E+8
B6	X3	R8	1195.41738	-0.0569	1.54E-2	1.10E+9
B6	X3	P8	1202.21585	-0.0617	9.79E-3	1.21E+9
B6	X2	P13	1203.06904	-0.0826	3.63E-3	9.64E+8
B6	X3	R9	1203.10553	-0.0633	1.57E-2	1.05E+9
B6	X0	P20	1203.19943	-0.1084	1.39E-2	7.85E+8
B6	X1	P17	1206.30735	-0.0998	8.51E-3	8.23E+8
B6	X0	R21	1206.57625	-0.1105	1.42E-2	6.80E+8
B6	X1	R18	1208.76311	-0.1018	2.19E-2	7.85E+8
B6	X3	P9	1210.65686	-0.0686	1.00E-2	1.17E+9
B6	X3	R10	1211.55051	-0.0701	1.60E-2	1.01E+9
B6	X2	P14	1214.94240	-0.0911	3.41E-3	9.26E+8
B6	X0	P21	1218.84260	-0.1172	1.43E-2	7.18E+8
B6	X3	P10	1219.84510	-0.0758	1.03E-2	1.10E+9
B6	X1	P18	1220.44665	-0.1086	9.24E-3	8.57E+8
B6	X3	R11	1220.71959	-0.0773	1.63E-2	9.64E+8
B6	X0	R22	1222.18314	-0.1191	1.42E-2	6.61E+8
B6	X1	R19	1222.85794	-0.1104	2.28E-2	7.18E+8
B6	X2	P15	1227.40052	-0.0996	3.19E-3	8.88E+8
B6	X3	P11	1229.73693	-0.0834	1.07E-2	1.05E+9
B6	X3	R12	1230.56841	-0.0848	1.64E-2	9.26E+8
B6	X0	P22	1234.92042	-0.1258	1.47E-2	7.05E+8
B6	X1	P19	1235.06883	-0.1173	9.98E-3	7.66E+8
B6	X1	R20	1237.41429	-0.1189	2.36E-2	7.05E+8
B6	X0	R23	1238.20204	-0.1274	1.42E-2	6.56E+8
B6	X3	P12	1240.29194	-0.0912	1.10E-2	1.01E+9
B6	X2	P16	1240.40425	-0.1082	2.96E-3	8.62E+8
B6	X3	R13	1241.06080	-0.0925	1.66E-2	8.88E+8
B6	X4	P7	1243.77698	-0.0717	1.06E-3	1.27E+9
B6	X1	P20	1250.14020	-0.1259	1.07E-2	7.85E+8
B6	X0	P23	1251.39775	-0.1342	1.51E-2	6.80E+8
B6	X3	P13	1251.47408	-0.0992	1.14E-2	9.64E+8
B6	X3	R14	1252.15383	-0.1003	1.66E-2	8.62E+8
B6	X1	R21	1252.39273	-0.1272	2.43E-2	6.80E+8
B6	X2	P17	1253.91306	-0.1167	2.75E-3	8.23E+8
B6	X0	R24	1254.58986	-0.1355	1.43E-2	6.30E+8
B6	X4	P9	1259.80842	-0.0845	1.04E-3	1.17E+9
B6	X3	P14	1263.23552	-0.1073	1.19E-2	9.26E+8
B6	X3	R15	1263.80297	-0.1082	1.66E-2	8.23E+8
B6	X5	R1	1264.24014	-0.0620	2.03E-2	1.59E+9
B6	X1	P21	1265.61343	-0.1343	1.14E-2	7.18E+8
B6	X5	R2	1265.66652	-0.0634	1.84E-2	1.50E+9
B6	X5	P1	1265.68146	-0.0630	9.94E-3	1.82E+9
B6	X1	R22	1267.74833	-0.1352	2.50E-2	6.61E+8
B6	X2	P18	1267.89076	-0.1251	2.55E-3	8.57E+8
B6	X5	R3	1268.02968	-0.0655	1.76E-2	1.42E+9
B6	X5	P2	1268.06555	-0.0651	1.19E-2	1.70E+9
B6	X0	P24	1268.23397	-0.1422	1.55E-2	6.61E+8
B6	X4	R11	1268.95118	-0.0923	1.08E-3	9.64E+8
B6	X5	R4	1271.30952	-0.0685	1.71E-2	1.34E+9
B6	X5	P3	1271.38142	-0.0679	1.27E-2	1.59E+9
B6	X5	R5	1275.47797	-0.0721	1.68E-2	1.27E+9
B6	X3	P15	1275.53708	-0.1154	1.23E-2	8.88E+8
B6	X5	P4	1275.60671	-0.0715	1.31E-2	1.50E+9
B6	X3	R16	1275.96783	-0.1161	1.66E-2	8.57E+8
B6	X4	P11	1278.69801	-0.0988	9.40E-4	1.05E+9
B6	X5	R6	1280.51136	-0.0764	1.65E-2	1.21E+9
B6	X5	P5	1280.71283	-0.0758	1.34E-2	1.42E+9
B6	X1	P22	1281.45837	-0.1424	1.21E-2	7.05E+8
B6	X2	P19	1282.29415	-0.1333	2.38E-3	7.66E+8
B6	X1	R23	1283.44715	-0.1430	2.57E-2	6.56E+8
B6	X0	P25	1285.39952	-0.1499	1.61E-2	6.56E+8
B6	X5	R7	1286.36160	-0.0813	1.63E-2	1.17E+9
B6	X5	P6	1286.66591	-0.0807	1.36E-2	1.34E+9
B6	X3	P16	1288.33237	-0.1235	1.27E-2	8.62E+8
B6	X3	R17	1288.60085	-0.1240	1.65E-2	7.66E+8
B6	X4	R13	1288.84833	-0.1067	1.93E-3	8.88E+8
B6	X5	R8	1292.99933	-0.0867	1.60E-2	1.10E+9
B6	X5	P7	1293.42536	-0.0862	1.38E-2	1.27E+9
B6	X1	P23	1297.63037	-0.1501	1.27E-2	6.80E+8
B6	X1	R24	1299.43506	-0.1503	2.62E-2	6.30E+8
B6	X5	R9	1300.37557	-0.0925	1.57E-2	1.05E+9
B6	X5	P8	1300.95672	-0.0922	1.40E-2	1.21E+9
B6	X3	P17	1301.57288	-0.1315	1.31E-2	8.23E+8
B6	X3	R18	1301.65555	-0.1316	1.65E-2	7.85E+8
B6	X0	P26	1302.84466	-0.1571	1.66E-2	6.30E+8
B6	X5	R10	1308.44330	-0.0987	1.54E-2	1.01E+9
B6	X5	P9	1309.20177	-0.0985	1.41E-2	1.17E+9
B6	X4	R15	1310.94467	-0.1214	2.85E-3	8.23E+8
B6	X2	P21	1312.19400	-0.1490	2.19E-3	7.18E+8
B6	X1	P24	1314.07771	-0.1574	1.32E-2	6.61E+8
B6	X3	R19	1315.06962	-0.1391	1.65E-2	7.18E+8
B6	X3	P18	1315.21389	-0.1393	1.35E-2	8.57E+8
B6	X5	R11	1317.15884	-0.1052	1.51E-2	9.64E+8
B6	X5	P10	1318.12294	-0.1051	1.43E-2	1.10E+9
B6	X5	R12	1326.46395	-0.1118	1.48E-2	9.26E+8
B6	X5	P11	1327.66337	-0.1120	1.45E-2	1.05E+9
B6	X3	R20	1328.79821	-0.1462	1.66E-2	7.05E+8
B6	X3	P19	1329.20214	-0.1469	1.38E-2	7.66E+8
B6	X1	P25	1330.75904	-0.1642	1.36E-2	6.56E+8
B6	X4	R17	1334.82813	-0.1358	3.59E-3	7.66E+8
B6	X6	R7	1335.42220	-0.0933	2.21E-3	1.17E+9
B6	X5	R13	1336.30870	-0.1185	1.45E-2	8.88E+8
B6	X5	P12	1337.76895	-0.1190	1.47E-2	1.01E+9
B6	X3	R21	1342.77923	-0.1529	1.68E-2	6.80E+8
B6	X2	P23	1343.21808	-0.1632	2.26E-3	6.80E+8
B6	X3	P20	1343.48432	-0.1541	1.41E-2	7.85E+8
B6	X5	R14	1346.63389	-0.1252	1.42E-2	8.62E+8
B6	X1	P26	1347.60947	-0.1704	1.38E-2	6.30E+8
B6	X5	P13	1348.38948	-0.1260	1.49E-2	9.64E+8
B6	X6	R9	1348.82870	-0.1037	3.06E-3	1.05E+9
B6	X3	R22	1356.94106	-0.1591	1.70E-2	6.61E+8
B6	X5	R15	1357.37671	-0.1319	1.40E-2	8.23E+8
B6	X3	P21	1357.98869	-0.1608	1.43E-2	7.18E+8
B6	X5	P14	1359.45955	-0.1330	1.50E-2	9.26E+8
B6	X4	R19	1360.02767	-0.1492	3.86E-3	7.18E+8
B6	X7	R1	1363.98604	-0.0857	2.30E-2	1.59E+9
B6	X6	R11	1364.77532	-0.1153	3.87E-3	9.64E+8
B6	X7	R2	1365.21393	-0.0868	2.04E-2	1.50E+9
B6	X7	P1	1365.66391	-0.0868	1.18E-2	1.82E+9
B6	X7	R3	1367.31478	-0.0887	1.91E-2	1.42E+9
B6	X5	R16	1368.47706	-0.1383	1.39E-2	8.57E+8
B6	X7	R4	1370.26335	-0.0912	1.83E-2	1.34E+9
B6	X5	P15	1370.92208	-0.1399	1.51E-2	8.88E+8
B6	X7	P3	1371.21275	-0.0913	1.55E-2	1.59E+9
B6	X3	R23	1371.22048	-0.1647	1.74E-2	6.56E+8
B6	X3	P22	1372.66007	-0.1670	1.44E-2	7.05E+8
B6	X7	R5	1374.02429	-0.0944	1.77E-2	1.27E+9
B6	X2	P25	1374.89275	-0.1749	2.79E-3	6.56E+8
B6	X7	P4	1375.25684	-0.0946	1.61E-2	1.50E+9
B6	X7	R6	1378.56653	-0.0981	1.72E-2	1.21E+9
B6	X5	R17	1379.86388	-0.1445	1.39E-2	7.66E+8
B6	X7	P5	1380.10125	-0.0985	1.66E-2	1.42E+9
B6	X5	P16	1382.70948	-0.1465	1.52E-2	8.62E+8
B6	X6	R13	1382.79148	-0.1273	4.43E-3	8.88E+8
B6	X7	R7	1383.82965	-0.1023	1.67E-2	1.17E+9
B6	X3	R24	1385.52556	-0.1694	1.79E-2	6.30E+8
B6	X7	P6	1385.70236	-0.1029	1.69E-2	1.34E+9
B6	X4	R21	1385.99804	-0.1606	3.36E-3	6.80E+8
B6	X3	P23	1387.42223	-0.1726	1.43E-2	6.80E+8
B6	X7	R8	1389.77394	-0.1069	1.63E-2	1.10E+9
B6	X5	R18	1391.46406	-0.1502	1.41E-2	7.85E+8
B6	X7	P7	1392.00782	-0.1077	1.71E-2	1.27E+9
B6	X5	P17	1394.74904	-0.1528	1.52E-2	8.23E+8
B6	X7	R9	1396.33563	-0.1118	1.60E-2	1.05E+9
B6	X7	P8	1398.97127	-0.1129	1.73E-2	1.21E+9
B6	X3	P24	1402.18514	-0.1772	1.39E-2	6.61E+8
B6	X6	R15	1402.34096	-0.1388	4.46E-3	8.23E+8
B6	X5	R19	1403.18210	-0.1554	1.45E-2	7.18E+8
B6	X7	R10	1403.45186	-0.1168	1.57E-2	1.01E+9
B6	X7	P9	1406.51764	-0.1183	1.74E-2	1.17E+9
B6	X5	P18	1406.96902	-0.1587	1.50E-2	8.57E+8
B6	X7	R11	1411.06177	-0.1220	1.55E-2	9.64E+8
B6	X7	P10	1414.59424	-0.1238	1.74E-2	1.10E+9
B6	X5	R20	1414.93676	-0.1599	1.50E-2	7.05E+8
B6	X3	P25	1416.86267	-0.1809	1.33E-2	6.56E+8
B6	X7	R12	1419.08566	-0.1272	1.55E-2	9.26E+8
B6	X5	P19	1419.28349	-0.1639	1.47E-2	7.66E+8
B6	X6	R17	1422.80751	-0.1490	3.69E-3	7.66E+8
B6	X7	P11	1423.12433	-0.1294	1.74E-2	1.05E+9
B6	X5	R21	1426.61910	-0.1635	1.57E-2	6.80E+8
B6	X7	R13	1427.45071	-0.1322	1.55E-2	8.88E+8
B6	X4	P23	1429.25202	-0.1771	2.24E-3	6.80E+8
B6	X8	R7	1430.81092	-0.1076	3.84E-3	1.17E+9
B6	X3	P26	1431.33039	-0.1832	1.21E-2	6.30E+8
B6	X5	P20	1431.60056	-0.1684	1.42E-2	7.85E+8
B6	X7	P12	1432.03225	-0.1350	1.73E-2	1.01E+9
B6	X7	R14	1436.07016	-0.1370	1.57E-2	8.62E+8
B6	X5	R22	1438.09792	-0.1659	1.63E-2	6.61E+8
B6	X7	P13	1441.24412	-0.1403	1.70E-2	9.64E+8
B6	X8	R9	1442.04569	-0.1158	3.85E-3	1.05E+9
B6	X5	P21	1443.79928	-0.1720	1.33E-2	7.18E+8
B6	X7	R15	1444.84884	-0.1414	1.61E-2	8.23E+8
B6	X5	R23	1449.23350	-0.1667	1.66E-2	6.56E+8
B7	X2	R9	1141.17259	-0.0412	4.50E-3	1.04E+9
B7	X1	P13	1141.50120	-0.0597	2.08E-3	9.58E+8
B7	X1	R14	1144.27304	-0.0626	1.17E-2	9.01E+8
B7	X0	P17	1145.88651	-0.0768	1.28E-2	8.18E+8
B7	X2	P9	1147.74043	-0.0459	7.66E-3	1.14E+9
B7	X2	R10	1149.58519	-0.0483	4.08E-3	1.00E+9
B7	X0	R18	1149.62848	-0.0799	1.67E-2	7.46E+8
B7	X3	R1	1150.62721	-0.0247	6.84E-3	1.58E+9
B7	X3	P1	1151.77491	-0.0255	3.06E-3	1.80E+9
B7	X3	R2	1152.15217	-0.0262	6.64E-3	1.49E+9
B7	X1	P14	1153.23056	-0.0684	2.40E-3	9.25E+8
B7	X3	R3	1154.61635	-0.0286	6.89E-3	1.41E+9
B7	X1	R15	1156.06086	-0.0712	1.27E-2	8.18E+8
B7	X2	P10	1156.80198	-0.0533	7.61E-3	1.09E+9
B7	X3	P3	1157.29319	-0.0305	3.80E-3	1.58E+9
B7	X3	R4	1158.00346	-0.0317	7.34E-3	1.33E+9
B7	X2	R11	1158.72772	-0.0557	3.64E-3	9.58E+8
B7	X0	P18	1159.88245	-0.0859	1.32E-2	8.29E+8
B7	X3	P4	1161.44055	-0.0343	3.84E-3	1.49E+9
B7	X3	R5	1162.29292	-0.0357	7.91E-3	1.26E+9
B7	X0	R19	1163.66672	-0.0889	1.66E-2	7.19E+8
B7	X1	P15	1165.57063	-0.0772	2.75E-3	8.83E+8
B7	X3	P5	1166.48454	-0.0388	3.83E-3	1.41E+9
B7	X2	P11	1166.58425	-0.0611	7.54E-3	1.04E+9
B7	X3	R6	1167.45800	-0.0404	8.54E-3	1.20E+9
B7	X1	R16	1168.44018	-0.0799	1.36E-2	8.29E+8
B7	X2	R12	1168.56591	-0.0635	3.19E-3	9.25E+8
B7	X3	P6	1172.39851	-0.0440	3.82E-3	1.33E+9
B7	X3	R7	1173.47496	-0.0457	9.23E-3	1.14E+9
B7	X0	P19	1174.39291	-0.0949	1.37E-2	7.64E+8
B7	X2	P12	1177.05210	-0.0691	7.46E-3	1.00E+9
B7	X0	R20	1178.20183	-0.0977	1.66E-2	6.96E+8
B7	X1	P16	1178.48518	-0.0860	3.15E-3	9.01E+8
B7	X2	R13	1179.07052	-0.0715	2.74E-3	8.83E+8
B7	X3	P7	1179.15273	-0.0498	3.84E-3	1.26E+9
